data,justificativa,responsavel,tipo
2025-09-05,"inclusão de dotação orçamentária: 05.012.12.361.1005.1034.3.3.90.00.00","VAGNER ESPINDOLA RODRIGUES",ALTERACAO_PRECOS
2025-09-09,"inclusão de dotação orçamentaria: 09 001.1088.3390 (5) 1.500 0000.0100.","VAGNER ESPINDOLA RODRIGUES",ALTERACAO_PRECOS
