cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
22.471.439/0001-35,3401032861,"Controlador de monitoramento de geração fotovoltaica",1,"VOLTS SERVICOS DE ENGENHARIA LTDA",1,UN,14035.93,14035.93,14035.93,14035.93
22.471.439/0001-35,3401032862,"Cabo de instrumentação,sinal multipar 4x2x0,50 mm² blindado",2,"VOLTS SERVICOS DE ENGENHARIA LTDA",700,M,24710,16870,35.3,24.1
22.471.439/0001-35,10373180,"Rack de parede metálico 8U x 350mm com porta frontal",3,"VOLTS SERVICOS DE ENGENHARIA LTDA",1,UND,1354.53,1354.53,1354.53,1354.53
22.471.439/0001-35,10365878,Nobreak,4,"VOLTS SERVICOS DE ENGENHARIA LTDA",1,UND,1544,1544,1544,1544
22.471.439/0001-35,24900,"Serviços de instalação, configuração e testes",5,"VOLTS SERVICOS DE ENGENHARIA LTDA",1,SERV,6200,6195.54,6200,6195.54
