ano,cnpjCpfContratado,dataAssinatura,dataVigenciaFinal,dataVigenciaInicial,nomeContratado,nomeEntidade,numero,objeto,situacao,valor
2019,10.808.646/0001-53,2019-04-18,2020-05-27,2019-04-18,"3C ENGENHARIA PROJETOS E CONSULTORIA LTDA","PREFEITURA MUNICIPAL DE CRICIUMA",109,"Contratação de serviços técnicos especializados para elaboração de 2 (dois) projetos: estrutural de concreto armado convencional; e estrutural metálico (escadaria e cobertura plataformas), necessários para construção do mirante no Morro Cechinel em Criciúma - SC."," ",16350
2019,14.634.442/0001-02,2019-04-18,2020-05-27,2019-04-18,"PIZZOLATO ENGENHARIA LTDA","PREFEITURA MUNICIPAL DE CRICIUMA",110,"Contratação de serviços técnicos especializados para elaboração de 2 (dois) projetos: estrutural de concreto armado convencional; e estrutural metálico (escadaria e cobertura plataformas), necessários para construção do mirante no Morro Cechinel em Criciúma - SC."," ",12300
