cnpjCpfFornecedor,formaParticipacao,idFornecedor,itensProposta,nomeFonecedor,representanteCertame,responsavelFornecedor,socios
75.014.167/0001-00,INDIVIDUAL," ","itensProposta_cd306d94-0e65-499d-b6fa-170c289cd8dd.csv","NUNESFARMA DISTRIBUIDORA DE PRODUTOS FARMACEUTICOS",,," "
00.802.002/0001-02,INDIVIDUAL," ","itensProposta_5a41efd9-1e85-45fb-b02b-bb6991ff993d.csv","ALTERMED MATERIAL MEDICO HOSPITALAR LTDA","ROBERTO DE OLIVEIRA RUSZCZAK","ROBERTO DE OLIVEIRA RUSZCZAK"," "
82.873.068/0001-40,INDIVIDUAL," ","itensProposta_8434ddba-bc1e-4064-83ba-f732813d2393.csv","GENÉSIO A.MENDES & CIA LTDA","GIULIANO RODRIGUES MENDES","GIULIANO RODRIGUES MENDES"," "
02.520.829/0001-40,INDIVIDUAL," ","itensProposta_9d02db81-d850-44d8-9e7e-7967dade5a9c.csv","DIMASTER COMERCIO DE PRODUTOS HOSPITALARES LTDA","RENAN JOSE GIACOMEL","RENAN JOSE GIACOMEL"," "
02.816.696/0001-54,INDIVIDUAL," ","itensProposta_0ea45b03-1be1-41a6-8417-507e45a1660c.csv","PONTAMED FARMACEUTICA LTDA","RUI LUIS SACHTLEBEN","RUI LUIS SACHTLEBEN"," "
04.071.245/0001-60,INDIVIDUAL," ","itensProposta_8a3fcaa8-3dcb-4989-ac34-936fbac3abc5.csv","Licimed Distribuidora de Medicamentos Ltda","FABIANA PEREIRA DA CONCEICAO","FABIANA PEREIRA DA CONCEICAO"," "
05.782.733/0001-49,INDIVIDUAL," ","itensProposta_3372de39-9085-40bb-a068-7f3af1743481.csv","CIAMED - DISTRIBUIDORA DE MEDICAMENTOS LTDA.","CLAUDIO PEREIRA DO ROSÁRIO","CLAUDIO PEREIRA DO ROSÁRIO"," "
00.088.317/0001-21,INDIVIDUAL," ","itensProposta_dffe4784-2c39-46ac-9ee2-6e5c198b14d2.csv","Victória Comércio de Produtos Hospitalares Ltda.","GLAUCO BENÁ VINCE","GLAUCO BENÁ VINCE"," "
03.652.030/0001-70,INDIVIDUAL," ","itensProposta_7ca6b477-82f8-458e-8b5e-bff7982b9a61.csv","CENTERMEDI-COMERCIO DE PRODUTOS HOSPITALARES LTDA","DOUGLAS MARTIN","DOUGLAS MARTIN"," "
04.355.394/0001-51,INDIVIDUAL," ","itensProposta_1b374bff-a596-49a2-872b-eb731f6bb15f.csv","PROHOSP DISTRIBUIDORA DE MEDICAMENTOS LTDA.",,," "
44.734.671/0001-51,INDIVIDUAL," ","itensProposta_cb13b56c-601c-40b0-8eb1-a415da8f4c10.csv","Cristália Produtos Químicos e Farmacêuticos Ltda","ANDRE RODRIGUES","ANDRE RODRIGUES"," "
85.247.385/0001-49,INDIVIDUAL," ","itensProposta_c28d4a7b-b729-4090-aadf-29a0d2788646.csv","PROSAUDE DISTRIBUIDORA DE MEDICAMENTOS  EIRELI",,," "
81.706.251/0001-98,INDIVIDUAL," ","itensProposta_3b9b18ce-4a1b-46be-9b42-fc23e52ad29f.csv","PROMEFARMA MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA","FERNANDO DE LACERDA","FERNANDO DE LACERDA"," "
67.729.178/0004-91,INDIVIDUAL," ","itensProposta_726789fc-486b-4402-87cd-46be777695bf.csv","COMERCIAL CIRURGICA RIOCLARENSE LTDA","HEITOR DE OLIVEIRA SAMPAIO","HEITOR DE OLIVEIRA SAMPAIO"," "
