cnpjCpfFornecedor,formaParticipacao,idFornecedor,itensProposta,nomeFonecedor,representanteCertame,responsavelFornecedor,socios
82.691.296/0001-07,INDIVIDUAL," ","itensProposta_367fb95e-4f3a-4e5b-986d-b45fa4eeda37.csv","EMPREITEIRA DE MAO DE OBRA CROCETA LTDA",,," "
02.698.965/0001-25,INDIVIDUAL," ","itensProposta_128a7b73-705a-4281-baf8-437356e5e363.csv","FECEL ENGENHARIA E CONSTRUCOES LTDA",,," "
10.599.044/0001-33,INDIVIDUAL," ","itensProposta_0657c1e0-b346-437d-a4ad-9a974ee2bb03.csv","CONSONI CONSTRUCOES LTDA",,," "
18.058.399/0001-27,INDIVIDUAL," ","itensProposta_e2c38fd0-7cb6-4f09-b0c9-ebad27e364ce.csv","TRL CONSTRUCOES LTDA. - ME",,," "
