cnpjCpfFornecedor,formaParticipacao,idFornecedor,itensProposta,nomeFonecedor,representanteCertame,responsavelFornecedor,socios
05.948.061/0001-07,INDIVIDUAL," ","itensProposta_98910aab-3006-4c2f-9148-13d409cc7e90.csv","ISAMED - MATERIAIS MEDICOS HOPITALARES LTDA","FELIPE PERITO CARDOSO","FELIPE PERITO CARDOSO"," "
05.021.932/0001-34,INDIVIDUAL," ","itensProposta_0b429b7a-2e5f-4a57-ab55-339cf4df0a43.csv","MF DE ALMEIDA & CIA. LTDA","BRUNO CESAR DE CARVALHO","BRUNO CESAR DE CARVALHO"," "
01.470.743/0001-98,INDIVIDUAL," ","itensProposta_4c55e1b4-53c8-407b-b27e-130bcaf35a36.csv","BLUMEDICA PRODUTOS MEDICOS E CIRURGICOS LTDA","CARLOS EDUARDO HORT","CARLOS EDUARDO HORT"," "
18.712.730/0001-80,INDIVIDUAL," ","itensProposta_01f7a2c5-83b3-4ca4-bf61-ebf5a534aff3.csv","MAYCON WILL EIRELI - ME","LUIZ FERNANDO SEBOLD","LUIZ FERNANDO SEBOLD"," "
21.504.525/0001-34,INDIVIDUAL," ","itensProposta_c3fa55ce-2403-47a1-9e78-53fc7a76b318.csv","DENTAL PRIME - PRODUTOS ODONTOLOGICOS MEDICOS HOSPITALARES - EIRELI","SERGIO MIGUEL SKRZYPIEC","SERGIO MIGUEL SKRZYPIEC"," "
06.194.440/0001-03,INDIVIDUAL," ","itensProposta_1c87cea3-fdbc-4957-893b-919571f4b635.csv","ODONTOMEDI - PRODUTOS ODONTOLOGICOS E HOSPITALARES","GEISSON LUIS DE PAULA GONCALVES GUIMARAES","GEISSON LUIS DE PAULA GONCALVES GUIMARAES"," "
