cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
83.812.347/0001-66,10377428,"Veículo Tipo Motocicleta - Motor a gasolina ou álcool/gasoli",3,"ZANATTA COMERCIO DE MOTOCICLETAS LTDA",3,UND,79010.01,78750,26336.67,26250
08.497.397/0001-80,10377426,"Veículo automotor, zero KM, modelo HATCH - Motor álcool/gaso",1,"KOLINA PREMIER VEICULOS LTDA",11,UND,636616.97,567600,57874.27,51600
05.586.628/0001-34,10377427,"Veículo automotor zero KM, modelo SUV - Motor álcool/gasolin",2,"VIP CAR VEICULOS LTDA",7,UND,659756.02,581000,94250.86,83000
