cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
06.555.143/0001-46,36376,"Verniz fluoretado - frasco com 10ml de verniz e 1 frasco com",309,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",40,KIT,1130.8,541.2,28.27,13.53
06.555.143/0001-46,36377,"Pincel aplicador Micro brush. Espessura da ponta regular",310,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",200,CX,1754,1290,8.77,6.45
06.555.143/0001-46,36378,"Polidor de Silicone SK 2142",312,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",10,UN,148.8,90.7,14.88,9.07
06.555.143/0001-46,36379,"Polidor de Silicone SK 2143",313,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",10,UN,148.8,90.7,14.88,9.07
06.555.143/0001-46,36380,"Polidor de Silicone SK 2145",314,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",10,UN,148.8,90.7,14.88,9.07
06.555.143/0001-46,36381,"Polidor de Silicone SK 2132",315,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",10,UN,148.8,90.7,14.88,9.07
06.555.143/0001-46,36382,"Polidor de Silicone SK 2133",316,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",10,UN,148.8,90.7,14.88,9.07
06.555.143/0001-46,36383,"Polidor de Silicone SK 2135",317,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",10,UN,148.8,90.7,14.88,9.07
06.555.143/0001-46,36385,"Escova de Polimento MSHS78Y3-1.",319,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",25,UN,673,130,26.92,5.2
06.555.143/0001-46,36387,"Escova de Polimento MSHS78LY-1",321,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",25,UN,673,475,26.92,19
06.555.143/0001-46,36389,"Jogo de Moldeira para desdentado lisa",323,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",12,PCT,1041.36,499.2,86.78,41.6
06.555.143/0001-46,36390,"Arco Young Adulto, em aço inox",325,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",20,UN,337.8,146.4,16.89,7.32
06.555.143/0001-46,36392,"Cureta Maccall 13-14",327,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",50,UN,2250,1562,45,31.24
06.555.143/0001-46,36395,"Kit posicionador para RX infantil",330,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",5,KIT,275,250,55,50
06.555.143/0001-46,36397,"Arco Ostby Adulto",332,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",10,UN,250,79.9,25,7.99
06.555.143/0001-46,36398,"Arco Ostby infantil",333,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",10,UN,250,79.9,25,7.99
06.555.143/0001-46,36399,"Luva Nitrílica.",334,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",100,CX,2700,1733,27,17.33
06.555.143/0001-46,36400,"Cureta Maccall 17-18 em aço inox",335,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",50,UN,2250,1562,45,31.24
04.989.294/0001-87,33037,"Cinzel micro Ochsenbein nº 1",11,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",4,UN,178.52,234,44.63,58.5
04.989.294/0001-87,29863,"Contra ângulo odontológico para peça de mão",14,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",7,UNI,5740,3430,820,490
04.989.294/0001-87,34185,"MOCHO ODONTOLÓGICO",43,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",10,UNI,7800,5420,780,542
04.989.294/0001-87,21153,"Pote dappen de vidro",59,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",80,UNI,304,209.6,3.8,2.62
04.989.294/0001-87,29322,"Adesivo dental fotopolimerizável do tipo II",74,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",200,FR.,26000,5100,130,25.5
04.989.294/0001-87,36255,"Água oxigenada a 10% - Frasco 100ml.",77,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",200,FRA,2072,698,10.36,3.49
04.989.294/0001-87,36259,"Anestésico Lidocaína 2% com epinefrina 1:100.000. Caixa com",85,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",600,CX,46476,58500,77.46,97.5
04.989.294/0001-87,31469,"Anestésico mepivacaína a 3% sem vasoconstritor Caixa com 50",87,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",80,CX,6829.6,11544.8,85.37,144.31
04.989.294/0001-87,36261,"Anestésico tópico gel. Pote 12 gramas",88,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",400,POT,2452,3256,6.13,8.14
04.989.294/0001-87,29338,"Broca de alta rotação carbide esférica n° ¼.",92,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",30,UN,134.7,157.2,4.49,5.24
04.989.294/0001-87,29339,"Broca de alta rotação carbide esférica n° ½",93,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",30,UN,134.7,157.2,4.49,5.24
04.989.294/0001-87,29340,"Broca de alta rotação carbide esférica n° 4",94,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",120,UN,693.6,628.8,5.78,5.24
04.989.294/0001-87,36262,"Broca de alta rotação carbide esférica n° 6",95,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",120,UN,596.4,628.8,4.97,5.24
04.989.294/0001-87,29341,"Broca de alta rotação carbide esférica n° 8",96,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",120,UN,596.4,628.8,4.97,5.24
04.989.294/0001-87,36271,"Broca de baixa rotação haste longa n° 2.",109,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",10,UN,40,39.3,4,3.93
04.989.294/0001-87,36272,"Broca de baixa rotação haste longa n° 4.",110,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",30,UN,120,117.9,4,3.93
04.989.294/0001-87,36275,"Broca de baixa rotação haste longa n° 6.",111,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",30,UN,120,117.9,4,3.93
