cnpjCpfFornecedor,formaParticipacao,idFornecedor,itensProposta,nomeFonecedor,representanteCertame,responsavelFornecedor,socios
00.472.716/0001-91,INDIVIDUAL," ","itensProposta_3e1293ae-e943-404e-8be6-c38a60c9abe0.csv","AMBONI CONECTIVIDADE LTDA.","ROBERTO AMBONI","ROBERTO AMBONI"," "
02.315.593/0001-00,INDIVIDUAL," ","itensProposta_4520e7df-9db5-4935-85cc-ddb14b982345.csv","ORLEANS INFORMATICA LTDA ME","WAGNER CROZETA","WAGNER CROZETA"," "
09.350.594/0001-35,INDIVIDUAL," ","itensProposta_e52a1c5b-9f47-4802-85d6-453a115a9acb.csv","SUPPLAY COMERCIO DE CARTUCHOS LTDA","RENAN JUNIOR ALBERTON","RENAN JUNIOR ALBERTON"," "
