cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
03.928.935/0001-20,10373611,"COMPUTADOR COMPLETO",1,"HAYA INFORMATICA LTDA",1,UND,6465.67,6400,6465.67,6400
03.928.935/0001-20,10373440,"SISTEMA OPERACIONAL",2,"HAYA INFORMATICA LTDA",1,UND,846.53,846.53,846.53,846.53
