cnpjCpfFornecedor,formaParticipacao,idFornecedor,itensProposta,nomeFonecedor,representanteCertame,responsavelFornecedor,socios
83.157.032/0001-22,INDIVIDUAL," ","itensProposta_8eff9434-62de-41fc-bd64-1486dba3f9ee.csv","METROMED MATERIAL MEDICO HOSPITALAR","JEFFERSON MENDES","JEFFERSON MENDES"," "
05.948.061/0001-07,INDIVIDUAL," ","itensProposta_b10ac9c6-d4d6-48e1-9719-41447ec2f2a1.csv","ISAMED MATERIAIS MEDICO HOSPIITALARES LTDA ME",,," "
93.726.446/0001-89,INDIVIDUAL," ","itensProposta_d05e1290-df66-4ef1-b0bb-3bfc86bdb9f5.csv","SERMEDICALL ARP EQUIP. HOSPITALARES LTDA","JOÃO PAULO DOMINGUES VIEIRA","JOÃO PAULO DOMINGUES VIEIRA"," "
11.145.401/0001-56,INDIVIDUAL," ","itensProposta_2ac9e23c-d5bf-4078-808d-56fac7da0933.csv","L A DALLA PORTA JUNIOR","ADRIANO ROCHA","ADRIANO ROCHA"," "
03.033.589/0001-12,INDIVIDUAL," ","itensProposta_8889b1e3-6cad-4886-b7ee-c8798392b90d.csv","OLIMED MATERIAL HOSPITALAR",,," "
