cnpjCpfFornecedor,formaParticipacao,idFornecedor,itensProposta,nomeFonecedor,representanteCertame,responsavelFornecedor,socios
83.157.032/0001-22,INDIVIDUAL," ","itensProposta_4cbb2c7f-04a7-48aa-b36b-2bbf1d8fa73f.csv","METROMED MATERIAL MEDICO HOSPITALAR","JEFFERSON MENDES","JEFFERSON MENDES"," "
00.802.002/0001-02,INDIVIDUAL," ","itensProposta_dbc7793d-bdd6-4b86-963b-e975b89f2fa9.csv","ALTERMED MATERIAL MEDICO HOSPITALAR LTDA",,," "
54.611.678/0001-30,INDIVIDUAL," ","itensProposta_0e2d7fc7-a93e-4b3d-8085-2540886a2cae.csv","WEM EQUIPAMENTOS ELETRONICOS LTDA","FABIANO TORRES","FABIANO TORRES"," "
62.413.869/0001-15,INDIVIDUAL," ","itensProposta_9e34b484-7e15-45bc-943c-bd98023ac299.csv","GIGANTE RECEM NASCIDO IND. COM. E REPRES.LTDA","MARCIO NAZARENO TEIXEIRA","MARCIO NAZARENO TEIXEIRA"," "
05.888.881/0001-42,INDIVIDUAL," ","itensProposta_2f286159-0959-4192-8120-6c005de0eaba.csv","HOMINUM COMERCIO E REPRESENTAÇÕES LTDA EPP","DAIANA SUELEM SENEGALI MANOEL","DAIANA SUELEM SENEGALI MANOEL"," "
61.100.244/0001-30,INDIVIDUAL," ","itensProposta_65be50a1-cddd-455d-ab40-809aee1a68b1.csv","FANEM LTDA","MAICON WILLIAN VIEIRA","MAICON WILLIAN VIEIRA"," "
61.374.161/0001-30,INDIVIDUAL," ","itensProposta_9715e513-8f44-4be9-accd-cadaa1cc7836.csv","BAUMER S.A","MAICON WILLIAN VIEIRA","MAICON WILLIAN VIEIRA"," "
05.968.162/0001-31,INDIVIDUAL," ","itensProposta_903fe60b-edd7-4b1b-9518-18bd00cd93a5.csv","W & Z COMERCIO E SERVICOS HOSPITALARES LTDA","JANAINA TORELLY PEDROSO","JANAINA TORELLY PEDROSO"," "
59.233.783/0001-04,INDIVIDUAL," ","itensProposta_6cc8d3e8-71ab-4747-ad88-944d642edf06.csv","SERCON IND. COM. APAR.MED.HOSP.LTDA","JUTUI FARIAS","JUTUI FARIAS"," "
06.555.143/0001-46,INDIVIDUAL," ","itensProposta_0855212d-5b90-4c05-9a36-503d717afba7.csv","TRADE MEDICAL COM DE MAT HOSPITALARES LTDA","ALINE TEREZINHA MACHADO","ALINE TEREZINHA MACHADO"," "
44.239.382/0001-86,INDIVIDUAL," ","itensProposta_cbbe6c7d-8317-4ad8-b198-1aedd0367f79.csv","PHOENIX IND. E COM. DE EQUIP.CIENTÍFICOS LTDA",,," "
58.426.628/0001-33,INDIVIDUAL," ","itensProposta_f8c89c7e-580a-4036-ae0d-b7ba7e0a31f8.csv","SAMTRONIC INDUSTRIA E COMERCIO LTDA","EMMANUEL ANTUNES DIAS","EMMANUEL ANTUNES DIAS"," "
05.021.932/0001-34,INDIVIDUAL," ","itensProposta_12358e24-c30b-4b3c-9906-8ecb4df96428.csv","MF DE ALMEIDA & CIA. LTDA","PABLO CAMARGO SOUZA","PABLO CAMARGO SOUZA"," "
79.805.263/0001-28,INDIVIDUAL," ","itensProposta_2295c85b-bd47-40fb-b02c-5124cfeca050.csv","KSS COMERCIO E INDUSTRIA DE EQUIPAMENTOS MEDICO LTDA","BRUNO CECHETTO ARAUJO","BRUNO CECHETTO ARAUJO"," "
27.286.283/0001-36,INDIVIDUAL," ","itensProposta_6fd1246d-eee8-453d-8951-13a84b5b7e22.csv","VICENTE DEPARTAMENTOS EIRELI",,," "
06.028.137/0002-11,INDIVIDUAL," ","itensProposta_128acf34-6617-462b-9a98-e0b21f6ec72e.csv","GETINGE DO BRASIL EQUIPAMENTOS MEDICOS LTDA.","ARLEI GRAUCIO DIAS","ARLEI GRAUCIO DIAS"," "
58.295.213/0021-11,INDIVIDUAL," ","itensProposta_6149bcd6-36a7-4e4a-aab4-5675936c96d4.csv","PHILIPS MEDICAL SYSTEMS LTDA","FABIANO TORRES","FABIANO TORRES"," "
03.155.958/0001-40,INDIVIDUAL," ","itensProposta_c9db8822-6f82-4a82-8de5-991a74d5094d.csv","MEDPEJ - EQUIPAMENTOS MEDICOS LTDA","EVERSON JOSÉ DA SILVA","EVERSON JOSÉ DA SILVA"," "
60.683.786/0001-10,INDIVIDUAL," ","itensProposta_16a3584b-c189-435f-b88c-a7e83ad2e8fa.csv","MEDICAL CIRURGICA LTDA","EVERSON JOSÉ DA SILVA","EVERSON JOSÉ DA SILVA"," "
28.655.764/0001-34,INDIVIDUAL," ","itensProposta_e7452500-a1f3-4727-9926-1c08e949787e.csv","HERA MEDICAL REPRESENTACOES, COMERCIO E SERVICOS E","ALINE TEREZINHA MACHADO","ALINE TEREZINHA MACHADO"," "
01.405.834/0001-40,INDIVIDUAL," ","itensProposta_4071ad0a-3713-4080-887d-36be5420037a.csv","MTB TECNOLOGIA LTDA","ALINE TEREZINHA MACHADO","ALINE TEREZINHA MACHADO"," "
