cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
24.504.598/0001-14,10376052,"CEIM  AMARO JOÃO BATISTA: Placas de sinalização de saída",1,"STOP FIRE  PROJETOS E SOLUCOES CONTRA INCENDIO EIR",20,UND,1324,1297.2,66.2,64.86
24.504.598/0001-14,10376053,"CEIM  AMARO JOÃO BATISTA: Luminária de emergência 30 LED",2,"STOP FIRE  PROJETOS E SOLUCOES CONTRA INCENDIO EIR",29,UND,1351.98,1324.72,46.62,45.68
24.504.598/0001-14,10376054,"CEIM  AMARO JOÃO BATISTA: Barra de canaleta 15 mm com cola",3,"STOP FIRE  PROJETOS E SOLUCOES CONTRA INCENDIO EIR",50,M,413,404.5,8.26,8.09
24.504.598/0001-14,10376055,"CEIM  AMARO JOÃO BATISTA:  Fio 2,5 mm paralelo",4,"STOP FIRE  PROJETOS E SOLUCOES CONTRA INCENDIO EIR",200,M,1052,1030,5.26,5.15
24.504.598/0001-14,10376056,"CEIM  AMARO JOÃO BATISTA:  Modulo de tomada 2p + t 10a -",5,"STOP FIRE  PROJETOS E SOLUCOES CONTRA INCENDIO EIR",49,UND,1718.43,1683.64,35.07,34.36
24.504.598/0001-14,10376057,"CEIM  JORGE FRYDBERG: Placas de sinalização de saída",6,"STOP FIRE  PROJETOS E SOLUCOES CONTRA INCENDIO EIR",22,UND,1456.4,1426.92,66.2,64.86
24.504.598/0001-14,10376058,"CEIM  JORGE FRYDBERG: Luminária de emergência 30 led",7,"STOP FIRE  PROJETOS E SOLUCOES CONTRA INCENDIO EIR",57,UND,2657.34,2603.76,46.62,45.68
24.504.598/0001-14,10376059,"CEIM  JORGE FRYDBERG: Barra de canaleta 15 mm com cola",8,"STOP FIRE  PROJETOS E SOLUCOES CONTRA INCENDIO EIR",50,M,413,404.5,8.26,8.09
24.504.598/0001-14,10376060,"CEIM  JORGE FRYDBERG:  Fio 2,5 mm paralelo",9,"STOP FIRE  PROJETOS E SOLUCOES CONTRA INCENDIO EIR",300,M,1578,1545,5.26,5.15
24.504.598/0001-14,10376061,"CEIM  JORGE FRYDBERG:  Modulo de tomada 2p + t 10a -",10,"STOP FIRE  PROJETOS E SOLUCOES CONTRA INCENDIO EIR",82,UND,2875.74,2817.52,35.07,34.36
24.504.598/0001-14,10376062,"EMEIEF PROFº VILSON LALAU: Placas de sinalização de saída",11,"STOP FIRE  PROJETOS E SOLUCOES CONTRA INCENDIO EIR",46,UND,3045.2,2983.56,66.2,64.86
24.504.598/0001-14,10376063,"EMEIEF PROFº VILSON LALAU: Luminária de emergência 30 LED",12,"STOP FIRE  PROJETOS E SOLUCOES CONTRA INCENDIO EIR",86,UND,4009.32,3928.48,46.62,45.68
24.504.598/0001-14,10376064,"EMEIEF PROFº VILSON LALAU: Blocos com dois faróis 3.000 lume",13,"STOP FIRE  PROJETOS E SOLUCOES CONTRA INCENDIO EIR",6,UND,1897.44,1859.1,316.24,309.85
24.504.598/0001-14,10376065,"EMEIEF PROFº VILSON LALAU: Barra de canaleta 15 mm com cola",14,"STOP FIRE  PROJETOS E SOLUCOES CONTRA INCENDIO EIR",75,M,619.5,606.75,8.26,8.09
24.504.598/0001-14,10376066,"EMEIEF PROFº VILSON LALAU: Rolo de fio flexível 2,5 mm - (me",15,"STOP FIRE  PROJETOS E SOLUCOES CONTRA INCENDIO EIR",300,M,1578,1545,5.26,5.15
24.504.598/0001-14,10376067,"EMEIEF PROFº VILSON LALAU: Modulo de tomada 2p + t 10a -",16,"STOP FIRE  PROJETOS E SOLUCOES CONTRA INCENDIO EIR",132,UND,4629.24,4535.52,35.07,34.36
