cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
02.341.788/0001-25,10382994,"FILTRO LUBRIFICANTE VA32G4001100",1,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",12,UND,2928,2664,244,222
02.341.788/0001-25,10382995,"FILTRO DIESEL LS21P01013R100",2,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",12,UND,1512,1368,126,114
02.341.788/0001-25,10382996,"FILTRO SEPARADOR VA32G6200100",3,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",12,UND,4656,4236,388,353
02.341.788/0001-25,10382997,"FILTRO AR PRIMÁRIO YY11P00008S003",4,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",6,UND,1866,1698,311,283
02.341.788/0001-25,10382998,"FILTRO AR SECUNDÁRIO	YY11P00008S002",5,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",6,UND,1044,948,174,158
02.341.788/0001-25,10382999,"FILTRO RETORNO	YN52V010011P1",6,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",4,UND,724,656,181,164
02.341.788/0001-25,10383000,"FILTRO SUCÇÃO	YN50V00025FF2",7,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",4,UND,1952,1776,488,444
02.341.788/0001-25,10383001,"FILTRO RESPIRO	YN57V00004S002",8,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",4,UND,644,584,161,146
02.341.788/0001-25,10383002,"FILTRO AR CONDICIONADO	YN50V01015P3",9,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",4,UND,456,412,114,103
02.341.788/0001-25,10383003,"FILTRO AR CONDICIONADO	YN50V01014P1",10,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",4,UND,396,360,99,90
02.341.788/0001-25,10383004,"FILTRO LUBRIFICANTE 	87803260",11,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",12,UND,1056,960,88,80
02.341.788/0001-25,10383005,"FILTRO DIESEL 	87435525",12,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",12,UND,1092,984,91,82
02.341.788/0001-25,10383006,"FILTRO SEPARADOR 	87803192",13,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",12,UND,1176,1068,98,89
02.341.788/0001-25,10383007,"FILTRO AR PRIMÁRIO	87577657",14,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",8,UND,2088,1896,261,237
02.341.788/0001-25,10383008,"FILTRO AR SECUNDÁRIO	87577656",15,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",8,UND,1392,1264,174,158
02.341.788/0001-25,10383009,"FILTRO HIDRÁULICO	YN52V01013P1",16,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",8,UND,2312,2096,289,262
02.341.788/0001-25,10383010,"FILTRO SUCÇÃO	YN50V00002S001",17,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",6,UND,1926,1752,321,292
02.341.788/0001-25,10383011,"FILTRO RESPIRO	YW57V00002S010",18,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",6,UND,462,420,77,70
02.341.788/0001-25,10383003,"FILTRO AR CONDICIONADO	YN50V01014P1",19,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",4,UND,396,360,99,90
02.341.788/0001-25,340100769,"FILTRO 	7W2327",20,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",10,UND,950,860,95,86
02.341.788/0001-25,340100770,"FILTRO	1106326",21,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",8,UND,1688,1536,211,192
02.341.788/0001-25,340100771,"FILTRO	1106331",22,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",8,UND,784,712,98,89
02.341.788/0001-25,10383012,"FILTRO	2230713",23,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",8,UND,976,888,122,111
02.341.788/0001-25,10383013,"FILTRO	1596102",24,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",8,UND,1288,1168,161,146
02.341.788/0001-25,10383014,"FILTRO	1919784",25,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",8,UND,1848,1680,231,210
02.341.788/0001-25,10383015,"FILTRO 	1G8878",26,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",8,UND,2152,1952,269,244
02.341.788/0001-25,10383016,"FILTRO LUBRIFICANTE 	2Y8096",27,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",10,UND,770,700,77,70
02.341.788/0001-25,10383017,"FILTRO SEPARADOR 	9M2341",28,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",10,UND,680,610,68,61
02.341.788/0001-25,10383018,"FILTRO AR PRIMÁRIO	4M8047",29,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",8,UND,784,712,98,89
02.341.788/0001-25,10383019,"FILTRO AR SECUNDÁRIO	2S1285",30,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",8,UND,552,496,69,62
02.341.788/0001-25,10383020,"FILTRO DIESEL	2Y8670",31,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",10,UND,480,430,48,43
02.341.788/0001-25,10383021,"FILTRO TRANSMISSÃO	9M9740",32,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",6,UND,402,366,67,61
02.341.788/0001-25,10383022,"FILTRO LUBRIFICANTE 	71101955",33,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",16,UND,1824,1648,114,103
02.341.788/0001-25,10383023,"FILTRO DIESEL	71101915",34,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",16,UND,768,688,48,43
02.341.788/0001-25,10383024,"FILTRO SEPARADOR 	71101919",35,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",16,UND,896,800,56,50
02.341.788/0001-25,10383025,"FILTRO AR PRIMÁRIO	71102720",36,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",10,UND,1870,1700,187,170
02.341.788/0001-25,10383026,"FILTRO AR SECUNDÁRIO	71102719",37,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",10,UND,1190,1080,119,108
02.341.788/0001-25,10383027,"FILTRO DÁGUA 	9672301",38,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",10,UND,910,820,91,82
02.341.788/0001-25,10383028,"FILTRO HIDRÁULICO	1930836",39,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",8,UND,712,640,89,80
02.341.788/0001-25,10383029,"FILTRO DIFERENCIAL	75310446",40,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",6,UND,1062,966,177,161
02.341.788/0001-25,10383030,"FILTRO SUCÇÃO	73161153",41,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",6,UND,1266,1152,211,192
02.341.788/0001-25,10383031,"FILTRO	75289018",42,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",8,UND,896,808,112,101
02.341.788/0001-25,10383032,"FILTRO TRANSMISSÃO	73162722",43,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",10,UND,3840,3490,384,349
02.341.788/0001-25,10383033,"FILTRO AR CONDICIONADO	75254545",44,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",6,UND,834,756,139,126
02.341.788/0001-25,10383039,"FILTRO	75325672",45,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",8,UND,1024,928,128,116
02.341.788/0001-25,10383040,"FILTRO	71101957",46,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",10,UND,880,800,88,80
02.341.788/0001-25,10383041,"FILTRO	75312820",47,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",6,UND,2082,1890,347,315
02.341.788/0001-25,10383042,"FILTRO	73125853",48,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",8,UND,728,656,91,82
02.341.788/0001-25,10383043,"FILTRO	79107317",49,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",6,UND,462,420,77,70
02.341.788/0001-25,10383044,"FILTRO HIDRÁULICO	2526831",50,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",6,UND,660,606,110,101
02.341.788/0001-25,10383045,"FILTRO AR SECUNDÁRIO	3340046",51,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",8,UND,560,504,70,63
02.341.788/0001-25,10383046,"FILTRO AR PRIMÁRIO	3340045",52,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",8,UND,920,832,115,104
02.341.788/0001-25,10383047,"FILTRO LUBRIFICANTE 	3339238",53,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",10,UND,480,430,48,43
02.341.788/0001-25,10383048,"FILTRO TRANSMISSÃO	247052",54,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",6,UND,540,486,90,81
02.341.788/0001-25,10383049,"FILTRO DIESEL	12709444",55,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",10,UND,410,370,41,37
02.341.788/0001-25,10383050,"FILTRO LUBRIFICANTE 	76194572",56,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",12,UND,1092,984,91,82
02.341.788/0001-25,10383051,"FILTRO DIESEL PRIMÁRIO	87400496",57,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",12,UND,1056,960,88,80
02.341.788/0001-25,10383052,"FILTRO DIESEL SECUNDÁRIO	86990957",58,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",12,UND,1320,1212,110,101
02.341.788/0001-25,10383053,"FILTRO SEPARADOR 	84993233",59,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",12,UND,936,852,78,71
02.341.788/0001-25,10383054,"FILTRO AR PRIMÁRIO	87682990",60,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",12,UND,1284,1164,107,97
02.341.788/0001-25,10383055,"FILTRO AR SECUNDÁRIO	87683000",61,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",12,UND,888,804,74,67
02.341.788/0001-25,10383056,"FILTRO HIDRÁULICO	87409662",62,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",8,UND,1976,1792,247,224
02.341.788/0001-25,10383057,"FILTRO TRANSMISSÃO	87519452",63,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",8,UND,2128,1936,266,242
02.341.788/0001-25,10383058,"FILTRO AR CONDICIONADO	330014A1",64,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",6,UND,1344,1218,224,203
02.341.788/0001-25,10383059,"FILTRO DIESEL	84403847",65,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",12,UND,828,744,69,62
02.341.788/0001-25,10383060,"FILTRO AR CONDICIONADO	87314367",66,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",6,UND,714,648,119,108
02.341.788/0001-25,10383061,"FILTRO AR SECUNDÁRIO	84217229",67,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",10,UND,980,890,98,89
02.341.788/0001-25,10383062,"FILTRO AR PRIMÁRIO	87682999",68,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",10,UND,1190,1080,119,108
02.341.788/0001-25,10383063,"FILTRO HIDRÁULICO	84226272",69,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",10,UND,2780,2520,278,252
02.341.788/0001-25,10383064,"FILTRO SEPARADOR 	87803444",70,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",12,UND,1416,1284,118,107
02.341.788/0001-25,10383065,"FILTRO DIESEL	84171692",71,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",12,UND,1152,1044,96,87
02.341.788/0001-25,10383066,"FILTRO TRANSMISSÃO	86982180",72,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",10,UND,2610,2370,261,237
02.341.788/0001-25,10383067,"FILTRO DE TELA 	278534A1",73,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",4,UND,576,524,144,131
02.341.788/0001-25,10383068,"FILTRO AR SECUNDÁRIO	71102625",74,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",24,UND,1992,1800,83,75
02.341.788/0001-25,10383069,"FILTRO AR PRIMÁRIO	71102626",75,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",24,UND,2856,2592,119,108
02.341.788/0001-25,10383053,"FILTRO SEPARADOR 	84993233",76,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",24,UND,2280,2064,95,86
02.341.788/0001-25,10383070,"FILTRO DIESEL	86990957",77,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",24,UND,2040,1848,85,77
02.341.788/0001-25,10383071,"FILTRO LUBRIFICANTE 	71101726",78,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",24,UND,1248,1128,52,47
02.341.788/0001-25,10383072,"FILTRO TRANSMISSÃO	85817004",79,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",10,UND,2490,2260,249,226
