cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
08.933.008/0001-12,10383759,"Reforma do chassi e caçamba do caminhão PLACA MHJ-2124",1,"PESADOS FUNILARIA E PINTURA LTDA",1,SV,14900,12400,14900,12400
08.933.008/0001-12,10383760,"Reforma do chassi e caçamba do caminhão PLACA MHJ-5914",2,"PESADOS FUNILARIA E PINTURA LTDA",1,SV,10800,8650,10800,8650
