cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
17.281.222/0001-22,10376751,"ABACAXI EM CALDA",1,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",70,UND,567.7,566.3,8.11,8.09
17.281.222/0001-22,10105146,"ACUCAR CRISTAL",2,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",70,KG,263.9,261.8,3.77,3.74
17.281.222/0001-22,340100249,"AÇUCAR DE CONFEITEIRO",3,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",10,KG,105.2,104.5,10.52,10.45
17.281.222/0001-22,10111069,"ACUCAR REFINADO",4,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",30,KG,82.8,80.4,2.76,2.68
17.281.222/0001-22,10379894,"AMEIXA PRETA SECA SEM CAROÇO",5,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",30,UND,361.8,361.5,12.06,12.05
17.281.222/0001-22,10376752,"AMENDOIM TORRADO E MOÍDO",6,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",65,KG,859.95,854.75,13.23,13.15
17.281.222/0001-22,10100394,"AMIDO DE MILHO",7,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",65,KG,292.5,288.6,4.5,4.44
17.281.222/0001-22,10376753,"BALA DE GOMA CONFEITADA",8,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",50,PCT,517.5,517.5,10.35,10.35
17.281.222/0001-22,10376754,"BALA MASTIGAVEL sabor iogurte",9,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",150,PCT,1269,1260,8.46,8.4
17.281.222/0001-22,10376755,"BALA MASTIGAVEL sabores diversos",10,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",150,PCT,1171.5,1170,7.81,7.8
17.281.222/0001-22,10379896,"BANHA  de origem animal",11,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",55,KG,607.75,606.1,11.05,11.02
17.281.222/0001-22,10379897,"BARRA DE CEREAIS",12,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",6000,UND,14040,13800,2.34,2.3
17.281.222/0001-22,10100858,"BICARBONATO DE SODIO",13,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",10,KG,74.6,74,7.46,7.4
17.281.222/0001-22,10113540,"BISCOITO SALGADO",14,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",6000,UND,34560,11400,5.76,1.9
17.281.222/0001-22,10376756,"BOMBOM COBERTO COM CHOCOLATE",15,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",20,KG,658.4,658,32.92,32.9
17.281.222/0001-22,10376757,"BOMBOM COBERTO COM CHOCOLATE BRANCO",16,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",20,KG,1380.4,1049.6,69.02,52.48
17.281.222/0001-22,10376758,"BOMBOM RECHEADO COM CAMADAS DE WAFFER E COBERTO COM CHOCOLAT",17,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",20,PCT,698.4,697,34.92,34.85
17.281.222/0001-22,10379898,"CAFÉ TORRADO MOÍDO, TRADICIONAL",18,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",500,UND,4800,4740,9.6,9.48
17.281.222/0001-22,10369150,"CARNE - MÚSCULO TRASEIRO BOVINO MOÍDO (Lagartão)",20,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",13,KG,373.49,362.05,28.73,27.85
17.281.222/0001-22,10379899,"CEREAIS CROCANTES DE CHOCOLATE",21,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",100,UND,1385,1380,13.85,13.8
17.281.222/0001-22,340100250,CHANTILLY,22,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",85,LT,1028.5,1024.25,12.1,12.05
17.281.222/0001-22,10379900,"CHOCOLATE AO LEITE PURO EM LASCAS",23,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",10,KG,306.5,289.5,30.65,28.95
17.281.222/0001-22,10379901,"CHOCOLATE BRANCO PURO EM LASCAS",24,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",10,KG,324.5,289.5,32.45,28.95
17.281.222/0001-22,10376761,"CHOCOLATE EM PÓ",25,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",10,KG,280,279.5,28,27.95
17.281.222/0001-22,10376762,"CHOCOLATE GRANULADO",26,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",20,KG,231.6,230,11.58,11.5
17.281.222/0001-22,10376763,"COCO EM FLOCOS",27,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",60,UND,262.2,261,4.37,4.35
17.281.222/0001-22,10376765,"COCO RALADO",28,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",60,UND,321.6,316.8,5.36,5.28
17.281.222/0001-22,10376764,"COCO RALADO - CONGELADO MÉDIO",29,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",10,KG,202.8,202,20.28,20.2
17.281.222/0001-22,10376766,"CREME DE LEITE UHT",30,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",70,UND,210,199.5,3,2.85
17.281.222/0001-22,10376767,"EMULSIFICANTE EMUSTAB",31,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",15,UND,104.7,104.55,6.98,6.97
17.281.222/0001-22,40300639,"ERVILHA EM CONSERVA",32,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",150,KG,3145.5,2812.5,20.97,18.75
