cnpjCpfFornecedor,formaParticipacao,idFornecedor,itensProposta,nomeFonecedor,representanteCertame,responsavelFornecedor,socios
82.556.283/0001-17,INDIVIDUAL," ","itensProposta_98e11903-6883-4000-a63a-a3ca9fc82f99.csv","CORCRIL COM. DE REFRIGERACAO CRICIUMA LTDA",,," "
95.770.228/0001-77,INDIVIDUAL," ","itensProposta_47354e64-cf48-4695-a9f2-9c3c38ab93e3.csv","COMERCIAL CARLESSI LTDA","SANDRO BILÉSIMO","SANDRO BILÉSIMO"," "
02.315.593/0001-00,INDIVIDUAL," ","itensProposta_a7db0bdf-516c-4513-9a6e-4f608e966e03.csv","ORLEANS INFORMATICA LTDA ME",,," "
01.980.629/0001-08,INDIVIDUAL," ","itensProposta_36f000a0-7c68-4b48-ab78-07b4ad0294ba.csv","ANCS DISTRIBUIDORA E ATACADO LTDA",,," "
16.677.803/0001-15,INDIVIDUAL," ","itensProposta_bf9d134b-d2fa-44ee-9c7f-85721cdabecd.csv","BMR CONDICIONADORES DE AR",,," "
18.619.082/0001-12,INDIVIDUAL," ","itensProposta_18cc8221-1dfb-449a-813f-a9ac880f3cc4.csv","RIF COMERCIAL ATACADISTA LTDA ME",,," "
03.925.659/0001-47,INDIVIDUAL," ","itensProposta_6d8a192b-383f-4031-8d76-0830e95b50f4.csv","JVETEC INFORMATICA EIRELI","JOEL HOBOLD","JOEL HOBOLD"," "
19.325.837/0001-39,INDIVIDUAL," ","itensProposta_bb145a37-c030-498a-8e6d-c4f3ddabd40d.csv","HERCILIO DE MATTIA MOVEIS LTDA","SABRINA ROMAGNA BORTOLOTTO DANIEL","SABRINA ROMAGNA BORTOLOTTO DANIEL"," "
03.800.477/0001-40,INDIVIDUAL," ","itensProposta_955694dd-85f5-4d78-8ebc-7650bf7b4db7.csv","VMLX ELETRONICOS EIRELI",,," "
12.581.380/0001-84,INDIVIDUAL," ","itensProposta_bef08a34-9dba-4b42-9bfd-284f52a6f0a4.csv","ALF COMERCIO DE ELETRODOMESTICOS LTDA",,," "
21.613.975/0001-65,INDIVIDUAL," ","itensProposta_7f3e27d5-4f78-4a72-8c1a-d9edbd58bee8.csv","TECNOFORTE SISTEMAS DE REFRIGERACAO - EIRELI - EPP","WILLIAM RICARDO ZEFERINO MUNIZ","WILLIAM RICARDO ZEFERINO MUNIZ"," "
02.562.058/0001-54,INDIVIDUAL," ","itensProposta_c49ef7d7-b2ce-4001-953b-25684193f314.csv","CD MICROS LTDA EPP","ALESSANDER GIULIANI PAVEI","ALESSANDER GIULIANI PAVEI"," "
