data,justificativa,responsavel,tipo
2024-06-20,"conforme valor licitado.","CLESIO SALVARO",ALTERACAO_PRECOS
2024-12-02,"PASSAGEM DE ITEM 165","CLESIO SALVARO",RECEBIMENTO_POR_TRANSF
2024-12-02,"ALTERAÇÃO DE VALOR APOS RECEBIMENTO 165","CLESIO SALVARO",ALTERACAO_PRECOS
