cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
10.331.125/0001-58,10375474,"YAMAHA XTZ TÉNÉRÉ 250CC 2011",1,"DUDAMOTOS COMERCIO DE PECAS E SERVICOS LTDA",4,UND,300,300,75,10
10.331.125/0001-58,10384295,"HONDA XRE 300 FLEX 300CC 2015",2,"DUDAMOTOS COMERCIO DE PECAS E SERVICOS LTDA",3,UND,225,225,75,10
10.331.125/0001-58,10384296,"HONDA XRE 300 FLEX 300CC 2017",3,"DUDAMOTOS COMERCIO DE PECAS E SERVICOS LTDA",1,UND,75,75,75,10
10.331.125/0001-58,10384297,"HONDA XRE 300 FLEX 300CC 2019",4,"DUDAMOTOS COMERCIO DE PECAS E SERVICOS LTDA",3,UND,225,225,75,10
10.331.125/0001-58,3401021406,"HONDA XRE 300 FLEX 300CC FLEX 2022",5,"DUDAMOTOS COMERCIO DE PECAS E SERVICOS LTDA",1,UND,75,75,75,10
10.331.125/0001-58,3401021407,"BMW F850CC GS GASOLINA 2022",6,"DUDAMOTOS COMERCIO DE PECAS E SERVICOS LTDA",3,UND,225,225,75,10
