ano,cnpjCpfContratado,dataAssinatura,dataVigenciaFinal,dataVigenciaInicial,nomeContratado,nomeEntidade,numero,objeto,situacao,valor
2023,16.779.255/0001-34,2023-09-06,2023-12-31,2023-09-06,"ELETRO CENTRO COMERCIO DE PECAS E ELETROELETRONICO","PREFEITURA MUNICIPAL DE CRICIUMA",193,"Aquisição de aparelhos de ar condicionado, tipo Split, em atendimento a Rede Municipal de Ensino, pertencente a Secretaria de Educação do município de Criciúma/SC. (Termo de Compromisso nº 202100782-5)"," ",67200
2023,01.590.728/0009-30,2023-09-06,2023-12-31,2023-09-06,"MICROTECNICA INFORMATICA LTDA","PREFEITURA MUNICIPAL DE CRICIUMA",194,"Aquisição de aparelhos de ar condicionado, tipo Split, em atendimento a Rede Municipal de Ensino, pertencente a Secretaria de Educação do município de Criciúma/SC. (Termo de Compromisso nº 202100782-5)"," ",157411.5
