data,justificativa,responsavel,tipo
2024-11-01,REEQUILIBRIO,"CLESIO SALVARO",ALTERACAO_PRECOS
2025-04-22,"PRORROGAÇÃO DE VIGÊNCIA","VAGNER ESPINDOLA RODRIGUES",PRORROGACAO_PRAZO
