cnpjCpfFornecedor,formaParticipacao,idFornecedor,itensProposta,nomeFonecedor,representanteCertame,responsavelFornecedor,socios
46.093.723/0001-83,INDIVIDUAL," "," ","COSTA & SOUZA COMERCIO HOSPITAL LTDA",,," "
28.788.905/0001-97,INDIVIDUAL," "," ","DUMALE PRODUTOS PARA SAUDE LTDA",,," "
07.760.277/0003-23,INDIVIDUAL," "," ","MEDMAX COMÉRCIO DE EQUIPAMENTOS MÉDICOS E SIMILARES EIRELI ME",,," "
24.864.422/0001-73,INDIVIDUAL," ","itensProposta_758070be-1f9d-49cc-95f3-b75ee7dc8381.csv","C E CARVALHO COMERCIAL ME",,," "
01.328.535/0001-59,INDIVIDUAL," ","itensProposta_b5483462-4b4b-49ba-bc8d-e78823c80fad.csv","CLASSMED - PRODUTOS HOSPITALARES LTDA",,," "
13.719.523/0001-34,INDIVIDUAL," "," ","CLARO MED EQUIPAMENTOS MEDICO HOSPITALAR LTDA",,," "
03.679.808/0001-35,INDIVIDUAL," "," ","BIO INFINITY COMERCIO HOSPITALAR E LOCAÇÃO EIRELI",,," "
41.932.099/0001-47,INDIVIDUAL," ","itensProposta_81e67abd-4913-4ae8-bc70-8bc9a33bb14e.csv","PMI BRASIL IMPORTADORA E EXPORTADORA DE PRODUTOS PARA SAUDE LTDA",,," "
24.912.303/0001-49,INDIVIDUAL," ","itensProposta_84f42b8b-9ea1-4950-9d1a-38b0bec7a016.csv","M V R DE SOUZA COMERCIO ATACADISTA LTDA",,," "
14.012.375/0001-86,INDIVIDUAL," ","itensProposta_7245e326-c53f-4072-b8c9-7e90e13b8dab.csv","BMI PROSPER EIRELI",,," "
37.778.759/0001-00,INDIVIDUAL," ","itensProposta_d6294925-81c0-4e4d-9e54-d29e03b3878e.csv","CWBCARE PRODUTOS MEDICO HOSPITALARES LTDA",,," "
40.380.377/0001-38,INDIVIDUAL," ","itensProposta_9c40ec9e-f6bc-441f-9cfb-9b4acf6d390c.csv","GUSTAVO VINICIUS DE SOUZA - MEI",,," "
11.405.384/0001-49,INDIVIDUAL," "," ","ALFA MED SISTEMAS MÉDICOS LTDA",,," "
15.631.700/0001-51,INDIVIDUAL," "," ","216 MATERIAL HOSPITALAR LTDA. - ME",,," "
26.628.908/0001-38,INDIVIDUAL," ","itensProposta_af5d8a2d-9a19-4550-aabf-f95990ee7fef.csv","URSA COMERCIAL LTDA",,," "
39.840.107/0001-83,INDIVIDUAL," "," ","MASTERMEDIC DISTRIBUIDORA LTDA",,," "
29.700.587/0001-23,INDIVIDUAL," ","itensProposta_de3dd429-9a0c-4574-a7de-ba384367693e.csv","PRIORITTA PRODUTOS HOSPITALARES LTDA",,," "
10.567.214/0001-06,INDIVIDUAL," ","itensProposta_cc6f0854-0295-48c2-aad0-8f36f3013023.csv","SUPRIMEDICE PRODUTOS HOSPITALARES LTDA",,," "
78.515.210/0001-00,INDIVIDUAL," "," ","CONTROLLER COMERCIO E SERVICOS LTDA",,," "
37.581.390/0001-40,INDIVIDUAL," "," ","3S VISION HOSPITALAR COMÉRCIO HOSPITALAR ATACADISTA DE PRODUTOS HOSPITALARES E EQUIPAMENTOS LTDA",,," "
32.473.099/0001-35,INDIVIDUAL," ","itensProposta_426d0af3-d4b2-45a9-b394-b3992ae88752.csv","DPS COMERCIO DE MATERIAIS HOSPITALARES LTDA",,," "
09.046.469/0001-36,INDIVIDUAL," "," ","YELO COMERCIO DE MATERIAIS HOSPITALARES LTDA",,," "
07.626.776/0001-60,INDIVIDUAL," "," ","CIRURGICA SAO FELIPE PRODUTOS PARA SAUDE LTDA",,," "
83.157.032/0001-22,INDIVIDUAL," ","itensProposta_5f2c684c-0f4f-4b08-9de2-46830affea74.csv","METROMED MATERIAL MEDICO HOSPITALAR",,," "
34.055.837/0001-50,INDIVIDUAL," "," ","CIRURGICAS MULLET IMPORTADORA E EXPORTADORA DE EQUIPAMENTOS HOSPITALARES E ODONTOLOGICOS LTDA",,," "
00.802.002/0001-02,INDIVIDUAL," ","itensProposta_be430a69-faba-49ed-8588-927cb3eb1bdb.csv","ALTERMED MATERIAL MEDICO HOSPITALAR LTDA",,," "
24.562.614/0001-25,INDIVIDUAL," "," ","VIVA CARE MATERIAL MEDICO HOSPITALAR LTDA ME",,," "
33.068.320/0001-32,INDIVIDUAL," "," ","ASCLEPIOS EQUIPAMENTOS HOSPITALARES EIRELI",,," "
06.189.855/0001-99,INDIVIDUAL," ","itensProposta_16f793be-a7c9-4a90-b42c-fba259f35321.csv","MEDSYSTEM EQUIPAMENTOS MEDICOS LTDA",,," "
09.560.267/0001-08,INDIVIDUAL," ","itensProposta_c8db3178-a8b7-47e9-983c-d5f9128abea5.csv","BETANIAMED COMERCIAL LTDA",,," "
18.258.209/0001-15,INDIVIDUAL," ","itensProposta_c75b6276-1b97-4071-b983-2568bea3fcbf.csv","CIRURGICAS CERON EQUIPAMENTOS HOSPITALARES E VETER",,," "
28.877.319/0001-19,INDIVIDUAL," ","itensProposta_0c641f24-e57c-49a7-9a0c-c8f3ef0a99e3.csv","PIETRA ODONTO IMPORTACAO E DISTRIBUIDORA LTDA",,," "
37.721.018/0001-92,INDIVIDUAL," "," ","CIRURGICA AURORA PRODUTOS HOSPITALARES LTDA",,," "
21.552.695/0001-94,INDIVIDUAL," ","itensProposta_058f53c0-7a23-4103-8eff-5ef4b906da39.csv","MEDICAL SIL COMÉRCIO DE EQUIPAMENTOS ODONTO MÉDICO HOSPITALAR LTDA",,," "
