ano,cnpjCpfContratado,dataAssinatura,dataVigenciaFinal,dataVigenciaInicial,nomeContratado,nomeEntidade,numero,objeto,situacao,valor
2023,05.968.162/0001-31,2023-06-01,2023-12-31,2023-06-01,"W & Z COMERCIO E SERVICOS HOSPITALARES LTDA","FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",42,"Aquisição de equipamentos médico-hospitalares e odontológicos, para atendimento das UBS II Santa Bárbara, Serviço Aeromédico SARASUL e SAMU, UPA Rio Maina e melhor em casa, pertencentes à Rede Municipal de Saúde – Criciúma/SC."," ",369908
2023,05.523.731/0001-35,2023-06-01,2023-12-31,2023-06-01,"V.L. FUZETI - COMERCIAL","FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",43,"Aquisição de equipamentos médico-hospitalares e odontológicos, para atendimento das UBS II Santa Bárbara, Serviço Aeromédico SARASUL e SAMU, UPA Rio Maina e melhor em casa, pertencentes à Rede Municipal de Saúde – Criciúma/SC."," ",42850
2023,10.567.214/0001-06,2023-06-01,2023-12-31,2023-06-01,"SUPRIMEDICE PRODUTOS HOSPITALARES LTDA","FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",44,"Aquisição de equipamentos médico-hospitalares e odontológicos, para atendimento das UBS II Santa Bárbara, Serviço Aeromédico SARASUL e SAMU, UPA Rio Maina e melhor em casa, pertencentes à Rede Municipal de Saúde – Criciúma/SC."," ",850
2023,29.125.166/0001-16,2023-06-01,2023-12-31,2023-06-01,"STARKLINICAL DO BRASIL LTDA","FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",45,"Aquisição de equipamentos médico-hospitalares e odontológicos, para atendimento das UBS II Santa Bárbara, Serviço Aeromédico SARASUL e SAMU, UPA Rio Maina e melhor em casa, pertencentes à Rede Municipal de Saúde – Criciúma/SC."," ",2200
2023,30.323.616/0001-64,2023-06-01,2023-12-31,2023-06-01,"QUICKBUM E-COMMERCE - EIRELI","FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",46,"Aquisição de equipamentos médico-hospitalares e odontológicos, para atendimento das UBS II Santa Bárbara, Serviço Aeromédico SARASUL e SAMU, UPA Rio Maina e melhor em casa, pertencentes à Rede Municipal de Saúde – Criciúma/SC."," ",8700
2023,46.218.314/0001-66,2023-06-01,2023-12-31,2023-06-01,"PRIMEMED EQUIPAMENTOS LTDA","FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",47,"Aquisição de equipamentos médico-hospitalares e odontológicos, para atendimento das UBS II Santa Bárbara, Serviço Aeromédico SARASUL e SAMU, UPA Rio Maina e melhor em casa, pertencentes à Rede Municipal de Saúde – Criciúma/SC."," ",12987
2023,28.877.319/0001-19,2023-06-01,2023-12-31,2023-06-01,"PIETRA ODONTO IMPORTACAO E DISTRIBUIDORA LTDA","FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",48,"Aquisição de equipamentos médico-hospitalares e odontológicos, para atendimento das UBS II Santa Bárbara, Serviço Aeromédico SARASUL e SAMU, UPA Rio Maina e melhor em casa, pertencentes à Rede Municipal de Saúde – Criciúma/SC."," ",3000
2023,58.295.213/0021-11,2023-06-01,2023-12-31,2023-06-01,"PHILIPS MEDICAL SYSTEMS LTDA","FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",49,"Aquisição de equipamentos médico-hospitalares e odontológicos, para atendimento das UBS II Santa Bárbara, Serviço Aeromédico SARASUL e SAMU, UPA Rio Maina e melhor em casa, pertencentes à Rede Municipal de Saúde – Criciúma/SC."," ",55200
2023,33.583.026/0001-69,2023-06-01,2023-12-31,2023-06-01,"OLIMPIO EQUIPAMENTOS HOSPITALARES EIRELI","FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",50,"Aquisição de equipamentos médico-hospitalares e odontológicos, para atendimento das UBS II Santa Bárbara, Serviço Aeromédico SARASUL e SAMU, UPA Rio Maina e melhor em casa, pertencentes à Rede Municipal de Saúde – Criciúma/SC."," ",21049
2023,17.039.142/0001-65,2023-06-01,2023-12-31,2023-06-01,"OLIMEDIC INDUSTRIA E COMERCIO DE MOVEIS HOSPITALARES EIRELI","FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",51,"Aquisição de equipamentos médico-hospitalares e odontológicos, para atendimento das UBS II Santa Bárbara, Serviço Aeromédico SARASUL e SAMU, UPA Rio Maina e melhor em casa, pertencentes à Rede Municipal de Saúde – Criciúma/SC."," ",2460
2023,21.971.041/0001-03,2023-06-01,2023-12-31,2023-06-01,"K.C.R.S. COMERCIO DE EQUIPAMENTOS EIRELI","FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",52,"Aquisição de equipamentos médico-hospitalares e odontológicos, para atendimento das UBS II Santa Bárbara, Serviço Aeromédico SARASUL e SAMU, UPA Rio Maina e melhor em casa, pertencentes à Rede Municipal de Saúde – Criciúma/SC."," ",3600
2023,49.161.411/0001-58,2023-06-01,2023-12-31,2023-06-01,"JH MAQUINAS E FERRAMENTAS LTDA","FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",53,"Aquisição de equipamentos médico-hospitalares e odontológicos, para atendimento das UBS II Santa Bárbara, Serviço Aeromédico SARASUL e SAMU, UPA Rio Maina e melhor em casa, pertencentes à Rede Municipal de Saúde – Criciúma/SC."," ",22230
2023,32.473.099/0001-35,2023-06-01,2023-12-31,2023-06-01,"DPS COMERCIO DE MATERIAIS HOSPITALARES LTDA","FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",54,"Aquisição de equipamentos médico-hospitalares e odontológicos, para atendimento das UBS II Santa Bárbara, Serviço Aeromédico SARASUL e SAMU, UPA Rio Maina e melhor em casa, pertencentes à Rede Municipal de Saúde – Criciúma/SC."," ",3219
2023,07.626.776/0001-60,2023-06-01,2023-12-31,2023-06-01,"CIRURGICA SAO FELIPE PRODUTOS PARA SAUDE LTDA","FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",55,"O presente edital tem por objetivo a aquisição de equipamentos médico-hospitalares e odontológicos, para atendimento das UBS II Santa Bárbara, Serviço Aeromédico SARASUL e SAMU, UPA Rio Maina e melhor em casa, pertencentes à Rede Municipal de Saúde – Criciúma/SC."," ",43500
2023,12.967.916/0001-02,2023-06-01,2023-12-31,2023-06-01,"CIRURGICA IZAMED LTDA","FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",56,"Aquisição de equipamentos médico-hospitalares e odontológicos, para atendimento das UBS II Santa Bárbara, Serviço Aeromédico SARASUL e SAMU, UPA Rio Maina e melhor em casa, pertencentes à Rede Municipal de Saúde – Criciúma/SC."," ",66720
