data,justificativa,responsavel,tipo
2023-04-10,"Empresa não assinou a ata.","CLESIO SALVARO",CANCELAMENTO
2023-04-10,"EMPRESA NÃO ASSINOU A ATA","CLESIO SALVARO",CANCELAMENTO
