ano,cnpjCpfContratado,dataAssinatura,dataVigenciaFinal,dataVigenciaInicial,nomeContratado,nomeEntidade,numero,objeto,situacao,valor
2024,07.164.711/0001-40,2024-02-07,2025-02-06,2024-02-07,"FUFA - SC COMÉRCIO E REPRESENTAÇÃO LTDA","FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",3,"Aquisição de “Curativos especiais”, para utilização dos pacientes atendidos pelo Ambulatório de Feridas, pertencente à Rede Municipal de Saúde de Criciúma/SC."," ",187565
2024,03.648.990/0001-67,2024-02-07,2025-02-06,2024-02-07,"MC SURGICAL PRODUTOS MEDICO HOSPITALARES EIRELI","FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",4,"aquisição de “Curativos especiais”, para utilização dos pacientes atendidos pelo Ambulatório de Feridas, pertencente à Rede Municipal de Saúde de Criciúma/SC."," ",532903.9
2024,12.600.168/0001-17,2024-02-07,2025-02-06,2024-02-07,"MOLNLYCKE HEALTH CARE VENDA DE PRODUTOS MEDICOS LTDA","FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",5,"aquisição de “Curativos especiais”, para utilização dos pacientes atendidos pelo Ambulatório de Feridas, pertencente à Rede Municipal de Saúde de Criciúma/SC."," ",60489.5
2024,36.260.336/0001-30,2024-02-07,2025-02-06,2024-02-07,"ND MEDICAMENTOS LTDA","FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",6,"aquisição de “Curativos especiais”, para utilização dos pacientes atendidos pelo Ambulatório de Feridas, pertencente à Rede Municipal de Saúde de Criciúma/SC."," ",30390
2024,45.015.817/0001-71,2024-02-07,2025-02-06,2024-02-07,"PROCAUTOS HOSPITALAR LTDA","FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",7,"aquisição de “Curativos especiais”, para utilização dos pacientes atendidos pelo Ambulatório de Feridas, pertencente à Rede Municipal de Saúde de Criciúma/SC."," ",31000
2024,27.311.107/0001-07,2024-02-07,2025-02-06,2024-02-07,"SC MED DISTRIBUIDORA MEDICO HOSPITALAR LTDA","FUNDO MUNICIPAL DE SAUDE DE CRICIUMA",8,"aquisição de “Curativos especiais”, para utilização dos pacientes atendidos pelo Ambulatório de Feridas, pertencente à Rede Municipal de Saúde de Criciúma/SC."," ",128156.85
