data,justificativa,responsavel,tipo
2024-05-07,"CANCELAMENTO ITEM N°183","CLESIO SALVARO",CANCELAMENTO
2024-05-14,"TRANSFERÊNCIA ITEM PARA SEGUNDO COLOCADO","CLESIO SALVARO",TRANSF_PARA_OUTRA_ATA
