data,justificativa,responsavel,tipo
2024-10-18,"ITEM 77 E 79","CLESIO SALVARO",RECEBIMENTO_POR_TRANSF
2024-10-18,"ALTERAÇÃO DE VALOR APOS RECEBIMENTO DOS ITENS 77 E 79","CLESIO SALVARO",ALTERACAO_PRECOS
