data,justificativa,responsavel,tipo
2024-11-29,"PASSAGEM DE ITEM 51","CLESIO SALVARO",RECEBIMENTO_POR_TRANSF
2024-11-29,"ALTERAÇÃO DE VALOR APOS RECEBIMENTO DO ITEM 51","CLESIO SALVARO",ALTERACAO_PRECOS
