data,justificativa,responsavel,tipo
2024-09-03,"TRANSFERENCIA ITEM 22","CLESIO SALVARO",RECEBIMENTO_POR_TRANSF
2024-09-03,"ALTERAÇÃO VALOR ITEM 22","CLESIO SALVARO",ALTERACAO_PRECOS
