data,justificativa,responsavel,tipo
2025-04-08,"TRANFERENCIA DE ITEM 11","VAGNER ESPINDOLA RODRIGUES",TRANSF_PARA_OUTRA_ATA
2025-05-15,"será chamado fornecedor remanescente para o item 23.","VAGNER ESPINDOLA RODRIGUES",CANCELAMENTO
2025-05-21,"proposta do vencedor com mais de 60 dias.","VAGNER ESPINDOLA RODRIGUES",TRANSF_PARA_OUTRA_ATA
