cnpjCpfFornecedor,formaParticipacao,idFornecedor,itensProposta,nomeFonecedor,representanteCertame,responsavelFornecedor,socios
54.257.126/0001-75,INDIVIDUAL," ","itensProposta_8968d4f8-d315-4ba8-b60d-0b829b0e1c68.csv",": V W ESTRUTURAS METALICAS E EVENTOS LTDA ME","VALTER BARION FILHO","VALTER BARION FILHO"," "
06.333.757/0001-83,INDIVIDUAL," ","itensProposta_686cb2eb-c023-44ae-aed4-31b6f214c6db.csv","CADU EVENTOS LTDA","JOELSON MANOEL CARDOSO","JOELSON MANOEL CARDOSO"," "
12.160.377/0001-97,INDIVIDUAL," ","itensProposta_cb7fa9e3-643f-47b0-86db-3411f16a89c6.csv","D&A COMERCIO EXPORTAÇÃO IMPORTAÇÃO TRANSPORTE E LOCAÇÃO DE SOM E LUZ","FLAVIO JOSE DE OLIVEIRA","FLAVIO JOSE DE OLIVEIRA"," "
02.742.361/0002-10,INDIVIDUAL," ","itensProposta_fd57ac27-4db3-448e-a281-d8bb1e60a7dc.csv","LUZ & FORMA COMERCIO E DECORACOES LTDA","MIGUEL KRUEL GUERRA SIMÕES","MIGUEL KRUEL GUERRA SIMÕES"," "
