data,justificativa,responsavel,tipo
2024-08-12,"PASSAGEM DE ITEM, 285","CLESIO SALVARO",RECEBIMENTO_POR_TRANSF
2024-08-12,"TROCA DE VALOR APOS RECEBIMENTO DO ITEM, 285","CLESIO SALVARO",ALTERACAO_PRECOS
