data,justificativa,responsavel,tipo
2024-07-22,"TRANSFERENCIA ITENS 340 E 341","CLESIO SALVARO",RECEBIMENTO_POR_TRANSF
2024-07-22,"ALTERAÇÃO DE VALOR 340 E 341","CLESIO SALVARO",ALTERACAO_PRECOS
