cnpjCpfFornecedor,formaParticipacao,idFornecedor,itensProposta,nomeFonecedor,representanteCertame,responsavelFornecedor,socios
27.061.442/0002-85,INDIVIDUAL," ","itensProposta_08068b10-b8e1-490d-93ca-6d70721c766b.csv","EPI 360 INDÚSTRIA, COMERCIO, IMPORTAÇÂO, EXPORTAÇÃO LTDA",,," "
18.619.082/0001-12,INDIVIDUAL," ","itensProposta_9a1c8626-b1ad-4f72-b2f4-4ef3250164d5.csv","RIF COMERCIAL ATACADISTA LTDA.",,," "
02.657.928/0001-79,INDIVIDUAL," ","itensProposta_c8f3fbaf-6e9b-4c79-8a55-dc016c85b1ae.csv","PONTO DAS SOLUCOES TECNOLOGICAS EIRELI",,," "
26.348.306/0001-27,INDIVIDUAL," ","itensProposta_390945be-36da-4496-891d-d5ffb514a022.csv","T & T INDUSTRIA, COMERCIO, IMPORTAÇÃO, EXPORTAÇÃO LTDA",,," "
54.509.566/0001-72,INDIVIDUAL," ","itensProposta_99eaf2da-4e7f-4287-8ac0-2eff010059bf.csv","SAULO FERNANDO REINATO FERRAO",,," "
37.278.673/0001-18,INDIVIDUAL," ","itensProposta_78babb5e-2c5a-4f71-9557-0c014ee4bd3a.csv","EREMASTER DISTRIBUIDORA DE FERRAGENS E FERRAMENTAS LTDA",,," "
30.680.484/0001-28,INDIVIDUAL," ","itensProposta_bec3dfa1-15d8-4055-a111-4a3f3c77285e.csv","PIRA SINAL COMERCIO DE MAT PARA SINALIZAÇÃO LTDA",,," "
09.525.549/0001-74,INDIVIDUAL," ","itensProposta_6d57e916-7dd4-4725-97fd-3abdb9005210.csv","CENTRO NORTE SINALIZAÇÃO VIARIA COMERCIAL E SERVIÇOS LTDA",,," "
09.273.196/0001-62,INDIVIDUAL," ","itensProposta_37d79945-0ef9-4056-b70b-2f3a499b0d4d.csv","KTELI INDUSTRIA E COMERCIO LTDA",,," "
29.926.189/0001-20,INDIVIDUAL," ","itensProposta_adf9cfb1-b878-4ce4-9ead-d8d20a483d59.csv","SIS COMÉRCIO DE MATERIAIS E EQUIPAMENTOS  LTDA",,," "
20.604.417/0001-70,INDIVIDUAL," ","itensProposta_7643e91f-bc63-4f82-9436-a002175809f2.csv","RP COMERCIAL LTDA",,," "
34.257.820/0001-85,INDIVIDUAL," ","itensProposta_57d32cf5-e587-4788-b13f-d8998559e2ed.csv","MEGA BOR COMERCIO DE EQUIPAMENTOS E VESTUARIO EIRELI",,," "
07.278.378/0001-09,INDIVIDUAL," ","itensProposta_64f6fdbd-a7fd-4180-a533-6040c1f9c33a.csv","TELBRAS - SIMONE CAMPOS E CAMPOS TEL. SEG. E SINAL",,," "
48.256.518/0001-17,INDIVIDUAL," ","itensProposta_4901b441-165f-424c-a1e5-b64ca944e4ac.csv","CITY CLEAN COM. EQUIPAMENTOS LTDA",,," "
27.518.373/0001-05,INDIVIDUAL," ","itensProposta_970992b0-6240-44f5-8e0e-f91771d4c86f.csv","META COMERCIO DE FERRAGENS E FERRAMENTAS LTDA",,," "
03.384.574/0001-07,INDIVIDUAL," ","itensProposta_fb704ac2-2dbf-49c9-b3a8-1421d6320ef8.csv","DIVIPLAN LTDA",,," "
