cnpjCpfFornecedor,formaParticipacao,idFornecedor,itensProposta,nomeFonecedor,representanteCertame,responsavelFornecedor,socios
41.263.941/0001-03,INDIVIDUAL," ","itensProposta_1e905c22-7714-46ad-a3e7-17684a27c6ae.csv","3M REPRESENTAÇÕES COMERCIAIS EIRELI","MATHEUS DE MORAES VIEIRA","MATHEUS DE MORAES VIEIRA"," "
40.524.583/0001-74,INDIVIDUAL," ","itensProposta_fd3082a3-641b-4993-9351-81c8dcb7a53a.csv","40.524.583 LUCAS NOBRE MENEZES","LUCAS NOBRE MENEZES","LUCAS NOBRE MENEZES"," "
00.802.002/0001-02,INDIVIDUAL," ","itensProposta_76463254-8f7a-4a62-a67d-463364bba2ee.csv","ALTERMED MATERIAL MEDICO HOSPITALAR LTDA","MAICON CORDOVA PEREIRA","MAICON CORDOVA PEREIRA"," "
37.885.137/0001-80,INDIVIDUAL," ","itensProposta_29b7a0fa-0f00-4ca8-a9cf-2c64fb9271cb.csv","AMB DISTRIBUIDORA DE MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA","MARCO FRANCO JUNIOR","MARCO FRANCO JUNIOR"," "
22.283.196/0001-01,INDIVIDUAL," ","itensProposta_6dab3794-bcbb-4cba-8413-467c73913aae.csv","BH LABORATORIOS LTDA","ANTONIO TADEU PENIDO SILVA","ANTONIO TADEU PENIDO SILVA"," "
24.864.422/0001-73,INDIVIDUAL," ","itensProposta_f895c036-1d6a-4ede-821d-eddc221bbefe.csv","C E CARVALHO COMERCIAL ME","CARLOS EDUARDO CARVALHO","CARLOS EDUARDO CARVALHO"," "
03.652.030/0003-32,INDIVIDUAL," ","itensProposta_414c7ac2-eeeb-41da-9620-9298f7c4bd02.csv","CENTERMEDI-COMERCIO DE PRODUTOS HOSPITALARES LTDA","VILSON SZYMANSKI","VILSON SZYMANSKI"," "
11.215.901/0001-17,INDIVIDUAL," ","itensProposta_5843a74b-346c-4016-b86c-5ac659f5c2e4.csv","CIRURGICA BIOMEDICA - EIRELI","ANA PAULA MENDES","ANA PAULA MENDES"," "
46.116.717/0001-02,INDIVIDUAL," ","itensProposta_b0d0f408-434a-4537-9f1a-52dc778237ac.csv","CIRURGICA PRIME LTDA","SERGIO LUIZ DE SOUZA JUNIOR","SERGIO LUIZ DE SOUZA JUNIOR"," "
01.328.535/0001-59,INDIVIDUAL," ","itensProposta_247cce53-5579-4a05-af60-ad684c0551e2.csv","CLASSMED - PRODUTOS HOSPITALARES LTDA","MICHELE CRISTINA CARDOSO DA SILVA MACHADO","MICHELE CRISTINA CARDOSO DA SILVA MACHADO"," "
83.240.028/0005-57,INDIVIDUAL," ","itensProposta_ef37653c-d9b4-4397-b62b-dc6d8eefeb70.csv","COPAPEL COMÉRCIO E REPRESENTAÇÕES DE PAPEL LTDA","BRUNO SEIFERT MAUL","BRUNO SEIFERT MAUL"," "
32.644.237/0001-00,INDIVIDUAL," ","itensProposta_8a967084-93e0-47fa-924c-4700147e23a2.csv","COSTA DISTRIBUIDORA HOSPITALAR LTDA","FRANCISCO ADRIANO COSTA SOUZA","FRANCISCO ADRIANO COSTA SOUZA"," "
19.316.524/0001-14,INDIVIDUAL," ","itensProposta_5f8efa4f-ffbf-486f-a34e-5cf4c9856fc3.csv","DELTA SHOP - DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA","DOUGLAS ERNESTO TALGATTI","DOUGLAS ERNESTO TALGATTI"," "
05.375.249/0001-03,INDIVIDUAL," ","itensProposta_0850d154-e92d-4068-9123-f9fdac4f1feb.csv","DENTAL ALTA MOGIANA - COMERCIO DE PRODUTOS ODONTOL","CAETANO BARROS BIAGI","CAETANO BARROS BIAGI"," "
35.215.257/0001-45,INDIVIDUAL," ","itensProposta_e30b8b68-659b-44ca-9ac7-7e94fa6ea35a.csv","DENTAL PREMIUM LTDA","ALEXANDRE FIORAVANTI SCHACHT","ALEXANDRE FIORAVANTI SCHACHT"," "
21.596.355/0001-65,INDIVIDUAL," ","itensProposta_ccc40a98-c68b-4298-af29-d40c7880077f.csv","DENTAX COMERCIO DE PRODUTOS ODONTOLOGICOS LTDA","ELAINE BIEDACHA","ELAINE BIEDACHA"," "
57.048.285/0001-58,INDIVIDUAL," ","itensProposta_8a35269d-dc6a-4b60-9285-124f67b6d0a5.csv","F5 DISTRIBUIDORA LTDA","NEUSA GRABSKI MACHADO","NEUSA GRABSKI MACHADO"," "
21.707.794/0001-06,INDIVIDUAL," ","itensProposta_a6de09a5-f962-40bd-ae8c-7effa5384eb2.csv","FASTLABOR COMERCIAL LTDA","LORRAYNE CAMILA RODRIGUES","LORRAYNE CAMILA RODRIGUES"," "
39.707.683/0001-57,INDIVIDUAL," ","itensProposta_a343a93e-9427-4f82-b59b-fb52fc85511b.csv","GTMED DISTRIBUIDORA DE MATERIAIS E EQUIPAMENTOS HOSPITALARES E ODONTOLOGICOS LTDA","GUILHERME THOMAZ GUIMARÃES STEFANI RIBEIRO","GUILHERME THOMAZ GUIMARÃES STEFANI RIBEIRO"," "
51.287.327/0001-27,INDIVIDUAL," ","itensProposta_d1ab4a09-44fb-414b-a59e-4d5c31b71a1a.csv","HC GROUP DO BRASIL IMPORTACAO DISTRIBUICAO LTDA","LUCIANO NELSON SILVEIRA","LUCIANO NELSON SILVEIRA"," "
54.322.844/0001-88,INDIVIDUAL," ","itensProposta_7fd416f3-4da8-4003-8504-68553f633ec9.csv","ITAPEMED IMPORTADORA E EXPORTADORA DE EQUIPAMENTOS HOSPITALARES LTDA","RODRIGO GOULART LUCHTEMBERG","RODRIGO GOULART LUCHTEMBERG"," "
72.150.550/0001-06,INDIVIDUAL," ","itensProposta_10f09f19-7f47-4e93-8190-11ea890a822b.csv","JULIANO DE COSTA LTDA","JULIANO DE COSTA","JULIANO DE COSTA"," "
40.892.801/0001-23,INDIVIDUAL," ","itensProposta_110f3d25-3f4f-4232-aa21-424084ce69b8.csv","K & M MEDICAL COMERCIO DE PRODUTOS HOSPITALARES LTDA","MARCOS LEANDRO KERN","MARCOS LEANDRO KERN"," "
38.344.029/0001-63,INDIVIDUAL," ","itensProposta_455bcab6-461d-4c84-b2a3-665858c8b44c.csv","KARILIA COMERCIO DE PAPEIS EIRELI","GIOVANI FIRMINO DE GOES","GIOVANI FIRMINO DE GOES"," "
51.685.649/0001-24,INDIVIDUAL," ","itensProposta_2b8543ed-356a-4030-9aef-affe1fddef91.csv","KASMEDI DISTRIBUIDORA DE MEDICAMENTOS LTDA","IDALINA FERNANDES CHMIEL","IDALINA FERNANDES CHMIEL"," "
