ano,numero,dataEmissao,tipo,nomeCredor,valor
2025,5618,2025-08-21,Empenhar,"BORGES COMERCIO VAREJISTA DE PECAS E RETIFICA DE MOTORES LTDA",645.27
2025,5619,2025-08-21,Empenhar,"BORGES COMERCIO VAREJISTA DE PECAS E RETIFICA DE MOTORES LTDA",594.09
2025,5621,2025-08-21,Empenhar,"KING OF FILTER AND OIL LTDA",380
2025,5620,2025-08-21,Empenhar,"KING OF FILTER AND OIL LTDA",15.84
2025,5622,2025-08-21,Empenhar,"KING OF FILTER AND OIL LTDA",3845.75
2025,5623,2025-08-21,Empenhar,"KING OF FILTER AND OIL LTDA",2448.58
2025,5633,2025-08-21,Empenhar,"DE LUCA PECAS AUTOMOTIVAS LTDA",1521.52
2025,4571,2025-08-22,Empenhar,"10 PONTO AUTO CENTER LTDA",4830.58
2025,4572,2025-08-22,Empenhar,"10 PONTO AUTO CENTER LTDA",2483.83
2025,523,2025-08-21,Empenhar,"BORGES COMERCIO VAREJISTA DE PECAS E RETIFICA DE MOTORES LTDA",284.5
2025,524,2025-08-21,Empenhar,"BORGES COMERCIO VAREJISTA DE PECAS E RETIFICA DE MOTORES LTDA",735.6
2025,5678,2025-08-22,Empenhar,"10 PONTO AUTO CENTER LTDA",121.9
2025,5679,2025-08-22,Empenhar,"10 PONTO AUTO CENTER LTDA",160
2025,5680,2025-08-22,Empenhar,"10 PONTO AUTO CENTER LTDA",1619.92
2025,5681,2025-08-22,Empenhar,"10 PONTO AUTO CENTER LTDA",9037.61
2025,5682,2025-08-22,Empenhar,"10 PONTO AUTO CENTER LTDA",786.79
2025,5683,2025-08-22,Empenhar,"10 PONTO AUTO CENTER LTDA",1345.04
2025,4609,2025-08-26,Empenhar,"DE LUCA PECAS AUTOMOTIVAS LTDA",4129.08
2025,4610,2025-08-26,Empenhar,"DE LUCA PECAS AUTOMOTIVAS LTDA",13031.35
2025,5719,2025-08-26,Empenhar,"DE LUCA PECAS AUTOMOTIVAS LTDA",616.72
2025,5720,2025-08-26,Empenhar,"DE LUCA PECAS AUTOMOTIVAS LTDA",408.64
2025,5739,2025-08-26,Empenhar,"DE LUCA PECAS AUTOMOTIVAS LTDA",528.68
2025,5740,2025-08-26,Empenhar,"DE LUCA PECAS AUTOMOTIVAS LTDA",118.04
2025,5741,2025-08-26,Empenhar,"DE LUCA PECAS AUTOMOTIVAS LTDA",2081.86
2025,5742,2025-08-26,Empenhar,"DE LUCA PECAS AUTOMOTIVAS LTDA",236.08
2025,4844,2025-09-04,Empenhar,"10 PONTO AUTO CENTER LTDA",2788.46
2025,4845,2025-09-04,Empenhar,"10 PONTO AUTO CENTER LTDA",5966.72
2025,4846,2025-09-04,Empenhar,"MECANICA SANGALETTI LTDA",249.68
2025,4847,2025-09-04,Empenhar,"MECANICA SANGALETTI LTDA",456.03
2025,6064,2025-09-04,Empenhar,"10 PONTO AUTO CENTER LTDA",1024.26
2025,6065,2025-09-04,Empenhar,"10 PONTO AUTO CENTER LTDA",861.7
2025,6072,2025-09-04,Empenhar,"10 PONTO AUTO CENTER LTDA",4283.51
2025,6073,2025-09-04,Empenhar,"10 PONTO AUTO CENTER LTDA",1903.6
2025,569,2025-09-04,Empenhar,"10 PONTO AUTO CENTER LTDA",1465.3
2025,570,2025-09-04,Empenhar,"10 PONTO AUTO CENTER LTDA",662.59
2025,57,2025-08-22,Empenhar,"10 PONTO AUTO CENTER LTDA",2197.29
2025,58,2025-08-22,Empenhar,"10 PONTO AUTO CENTER LTDA",1589.6
