cnpjCpfFornecedor,formaParticipacao,idFornecedor,itensProposta,nomeFonecedor,representanteCertame,responsavelFornecedor,socios
06.194.440/0001-03,INDIVIDUAL," ","itensProposta_5c291f45-3510-41ad-9775-2a57b4fbf046.csv","ODONTOMEDI - PRODUTOS ODONTOLOGICOS E HOSPITALARES",,," "
71.505.564/0001-24,INDIVIDUAL," ","itensProposta_52dfd2ff-1645-4359-8497-374cd46f7746.csv","EMIGE MATERIAIS ODONTOLOGICOS LTDA",,," "
48.554.920/0001-88,INDIVIDUAL," ","itensProposta_3a4e9595-7373-4406-b137-c6222a360ff2.csv","REAL SAUDE - COMERCIO DE PRODUTOS ODONTOLOGICOS, MEDICOS E HOSPITALARES LTDA",,," "
22.654.814/0001-82,INDIVIDUAL," ","itensProposta_a7aa871a-10da-4951-9c98-7ad734af58ad.csv",RHOSS,,," "
28.857.335/0001-40,INDIVIDUAL," ","itensProposta_d6b44d47-10c2-437b-947f-de287087c4df.csv","MAXIMA DENTAL IMPORTACAO, EXPORTACAO E COMERCIO DE PRODUTOS ODONTOLOGICOS LTDA",,," "
21.504.525/0001-34,INDIVIDUAL," ","itensProposta_5ba4dd47-0580-4350-8648-22a544e502ef.csv","DENTAL PRIME - PRODUTOS ODONTOLOGICOS MEDICOS HOSPITALARES - EIRELI",,," "
39.840.107/0001-83,INDIVIDUAL," ","itensProposta_ced0edd0-3400-43ee-8974-b91ccf796fde.csv","MASTERMEDIC DISTRIBUIDORA LTDA",,," "
35.215.257/0001-45,INDIVIDUAL," ","itensProposta_46f7416e-5c93-4f4d-880a-5da32d4b85b0.csv","DENTAL PREMIUM LTDA",,," "
37.882.886/0001-54,INDIVIDUAL," ","itensProposta_4a52ed2c-37cd-41db-9643-1356775a8f17.csv","VERDE DISTRIBUIDORA DE MEDICAMENTOS LTDA",,," "
29.700.587/0001-23,INDIVIDUAL," ","itensProposta_8686e16b-dbb1-45f1-8061-057727b55afd.csv","PRIORITTA PRODUTOS HOSPITALARES LTDA",,," "
05.644.129/0001-56,INDIVIDUAL," ","itensProposta_48e6ee59-2eb0-47ba-9059-4401dab93a73.csv","SYSTHEX - SISTEMAS DE IMPLANTES OSSEO INTEGRADO LTDA",,," "
35.706.397/0001-16,INDIVIDUAL," ","itensProposta_866f5e07-6f6b-4d92-9ecc-0a80690c67a4.csv","E.C.S. TECNOLOGIA EM SAUDE, COMERCIO, IMPORTACAO E EXPORTACAO LTDA",,," "
50.591.089/0001-86,INDIVIDUAL," ","itensProposta_2a1b616a-6c8c-4ad3-9577-b5f66ea0c451.csv",INTEGRA,,," "
07.581.009/0001-82,INDIVIDUAL," ","itensProposta_fc93a23e-152b-446a-bcd9-1b2332fcf4c8.csv","MAIS MATERIAIS ODONTOLOGICOS LTDA",,," "
72.150.550/0001-06,INDIVIDUAL," ","itensProposta_7ecf7221-1b18-4d69-935c-f4a49199303a.csv","JULIANO DE COSTA LTDA",,," "
50.567.060/0001-69,INDIVIDUAL," ","itensProposta_c47487b7-3dc5-4935-a7c3-628261966773.csv","DENTAL IPO LTDA",,," "
05.948.061/0001-07,INDIVIDUAL," ","itensProposta_e7208525-0154-4080-9149-120c3b251f13.csv","ISAMED - MATERIAIS MEDICOS HOPITALARES LTDA",,," "
21.596.355/0001-65,INDIVIDUAL," ","itensProposta_5ed96e18-2e38-4fe9-b1e3-95114f528c2c.csv","DENTAX COMERCIO DE PRODUTOS ODONTOLOGICOS LTDA",,," "
05.286.960/0001-83,INDIVIDUAL," ","itensProposta_3f3ec6c8-611b-4997-a2fd-b69caedbe13b.csv","V. S. COSTA & CIA LTDA",,," "
08.697.852/0001-91,INDIVIDUAL," ","itensProposta_0c3821e0-da65-4765-8b2d-a0fbc350e9de.csv","ENDOGERAIS EQUIPAMENTOS MEDICOS LTDA-ME",,," "
83.157.032/0001-22,INDIVIDUAL," ","itensProposta_ac2a8564-5592-4449-85fa-9bd148e89faf.csv","METROMED MATERIAL MEDICO HOSPITALAR",,," "
18.031.325/0001-05,INDIVIDUAL," ","itensProposta_2fe13316-2802-4758-8fe6-75c6d986c489.csv","I. S. COSTA CENTRAL TELEMEDICINA EIRELI",,," "
05.021.932/0001-34,INDIVIDUAL," ","itensProposta_a513b611-8aae-4dd9-bab1-2ec844253285.csv","MF DE ALMEIDA & CIA. LTDA",,," "
45.157.605/0001-29,INDIVIDUAL," ","itensProposta_0b0480e9-2b35-407d-8a93-2e5451f15bf8.csv","VRM IMPORT LTDA",,," "
09.560.267/0001-08,INDIVIDUAL," ","itensProposta_5a4562d6-9235-4d94-88e0-72bfc442d959.csv","BETANIAMED COMERCIAL LTDA",,," "
20.669.174/0001-59,INDIVIDUAL," "," ",KHALKOS,,," "
11.814.520/0001-54,INDIVIDUAL," ","itensProposta_a24e33a6-e3b1-452e-a908-e39659a0e353.csv","VPD - DISTRIBUIDORA",,," "
32.473.099/0001-35,INDIVIDUAL," ","itensProposta_4cfc59a6-49ea-44c1-b539-16c0afaa6e7a.csv","DPS COMERCIO DE MATERIAIS HOSPITALARES LTDA",,," "
84.972.926/0001-39,INDIVIDUAL," ","itensProposta_e03357ad-bde9-4283-bf8c-c649e004d8f4.csv","J.RIBEIRO COMERCIO ATACADISTA LTDA-ME",,," "
09.315.996/0001-07,INDIVIDUAL," ","itensProposta_95ba9fe0-cf89-4417-90a6-e13f2f09d0aa.csv","COMERCIAL MARK ATACADISTA LTDA",,," "
01.328.535/0001-59,INDIVIDUAL," ","itensProposta_d04edde5-1d51-4ae6-9fb9-e86b9a5a318c.csv","CLASSMED - PRODUTOS HOSPITALARES LTDA",,," "
06.189.855/0001-99,INDIVIDUAL," ","itensProposta_a2d28621-ef4f-4fd1-82af-4d6a8e962889.csv","MEDSYSTEM EQUIPAMENTOS MEDICOS LTDA",,," "
43.962.576/0001-42,INDIVIDUAL," ","itensProposta_77440ef3-3e6d-4795-93ca-2eb0dd5b3bab.csv","UNAMED PRODUTOS HOSPITALARES LTDA",,," "
