data,justificativa,responsavel,tipo
2022-12-01,"Conforme memorando 239/PMC/2022. ERRO DE DIGITAÇÃO.","CLESIO SALVARO",RECEBIMENTO_POR_TRANSF
2022-12-01,"O valor atualizado conforme proposta do vencedor do item.","CLESIO SALVARO",ALTERACAO_PRECOS
