cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
07.150.434/0001-17,10384119,"Chapa de alumínio composto (ACM) para confecção de placas de",1,"SINASC SINALIZACAO E CONSTRUCAO DE RODOVIAS LTDA",400,M2,236000,227585,590,568.9625
07.150.434/0001-17,340101798,"Tubo de Aço 2” x 3m x 2mm e acessórios para fixação",2,"SINASC SINALIZACAO E CONSTRUCAO DE RODOVIAS LTDA",750,UN,375000,361628.55,500,482.1714
07.150.434/0001-17,340101799,"Tubo de Aço 2” x 3,5m x 2mm e acessórios para fixação",3,"SINASC SINALIZACAO E CONSTRUCAO DE RODOVIAS LTDA",350,UN,199500,192386.45,570,549.67556
