cnpjCpfFornecedor,formaParticipacao,idFornecedor,itensProposta,nomeFonecedor,representanteCertame,responsavelFornecedor,socios
05.286.960/0001-83,INDIVIDUAL," "," ","V. S. COSTA & CIA LTDA",,," "
24.039.450/0001-56,INDIVIDUAL," "," ","HDX COMERCIAL EIRELI",,," "
08.467.533/0001-90,INDIVIDUAL," ","itensProposta_93017d65-7a40-465c-bb4f-2644219980ec.csv","ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",,," "
12.095.582/0001-16,INDIVIDUAL," ","itensProposta_342f2454-df4d-4bfc-9c97-cbd37b19b232.csv","NOSSA DENTAL PRODUTOS ODONTOLÓGICOS LTDA",,," "
26.499.522/0001-73,INDIVIDUAL," "," ","MORIMED COMERCIAL EIRELI - EPP",,," "
55.979.736/0001-45,INDIVIDUAL," ","itensProposta_363b151d-b25d-4156-a1d0-71dd8dbfa6de.csv","ALLIAGE S/A INDUSTRIAS MEDICO ODONTOLOGICA",,," "
02.136.854/0001-25,INDIVIDUAL," ","itensProposta_b151bb8a-b105-4d2e-9aeb-08072b675ff9.csv","E.C. DOS SANTOS COMERCIAL EIRELI",,," "
82.478.140/0001-34,INDIVIDUAL," ","itensProposta_d3ba70c3-7399-474f-a57e-1dddce31e426.csv","SALVI, LOPES & CIA. LTDA",,," "
21.596.355/0001-65,INDIVIDUAL," ","itensProposta_d9845797-77a9-40a0-bd4c-4a946391b8bb.csv","DENTAX COMERCIO DE PRODUTOS ODONTOLOGICOS LTDA",,," "
83.802.215/0001-53,INDIVIDUAL," ","itensProposta_d2e08fcc-80a4-4a43-8cbd-a455e34f8700.csv","OLSEN INDUSTRIA E COMERCIO S/A",,," "
41.319.629/0002-67,INDIVIDUAL," ","itensProposta_993f1d15-69fc-4199-8fa7-e73759412fd1.csv","SOLUTE MEDICAL GROUP BRAZIL LTDA",,," "
11.768.299/0001-45,INDIVIDUAL," ","itensProposta_c92a8cb8-a21d-4ed6-8d3d-b946a3b1b377.csv","COMEPI PRODUTOS COMERCIAIS LTDA",,," "
29.312.896/0001-26,INDIVIDUAL," ","itensProposta_0123566e-fd8c-4d62-8e17-f9e2e4c3e545.csv","BHDENTAL COMERCIAL EIRELI",,," "
00.802.002/0001-02,INDIVIDUAL," ","itensProposta_22470b19-652a-45ec-a17b-a71bdaa61d1e.csv","ALTERMED MATERIAL MEDICO HOSPITALAR LTDA",,," "
84.972.926/0001-39,INDIVIDUAL," ","itensProposta_d43142ef-7cff-44e3-9f9a-f04fa23d4dbd.csv","J.RIBEIRO COMERCIO ATACADISTA LTDA-ME",,," "
05.021.932/0001-34,INDIVIDUAL," ","itensProposta_e78e6a90-9275-4961-a10e-f815e29d066f.csv","MF DE ALMEIDA & CIA. LTDA",,," "
11.205.139/0001-98,INDIVIDUAL," ","itensProposta_52ae114b-83fc-42ae-ab60-fecf5821c863.csv","ESSENCIA COSMETICOS E ACESSORIOS LTDA.",,," "
71.505.564/0001-24,INDIVIDUAL," ","itensProposta_67410b24-0fa0-4f98-a923-c587536dd3d8.csv","EMIGE MATERIAIS ODONTOLOGICOS LTDA",,," "
