cnpjCpfFornecedor,formaParticipacao,idFornecedor,itensProposta,nomeFonecedor,representanteCertame,responsavelFornecedor,socios
07.392.762/0001-20,INDIVIDUAL," ","itensProposta_2b6890e6-64d8-42e2-bf0d-6e3848249a2f.csv","OTICA VICTOR LTDA","JOSE CARLOS DA ROCHA","JOSE CARLOS DA ROCHA"," "
12.072.475/0001-72,INDIVIDUAL," ","itensProposta_a6c9b4ee-79c9-4577-addd-823f2f311e17.csv","GF COMERCIO E SERVICO DE EQUIPAMENTOS DE SEGURANCA LTDA","FERNANDO ELIAS JOSE","FERNANDO ELIAS JOSE"," "
