cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
05.850.947/0001-05,0,,60,"MARCELO GOMES & CIA LTDA",1,,23.9,23,23.9,23
05.850.947/0001-05,0,,61,"MARCELO GOMES & CIA LTDA",15,,343.5,331.5,22.9,22.1
05.850.947/0001-05,0,,62,"MARCELO GOMES & CIA LTDA",40,,380,370,9.5,9.25
05.850.947/0001-05,0,,63,"MARCELO GOMES & CIA LTDA",2,,2.9,2.78,1.45,1.39
05.850.947/0001-05,0,,64,"MARCELO GOMES & CIA LTDA",2,,2.9,2.78,1.45,1.39
05.850.947/0001-05,0,,65,"MARCELO GOMES & CIA LTDA",2,,2.9,2.78,1.45,1.39
05.850.947/0001-05,0,,66,"MARCELO GOMES & CIA LTDA",2,,2.9,2.78,1.45,1.39
05.850.947/0001-05,0,,67,"MARCELO GOMES & CIA LTDA",2,,2.9,2.78,1.45,1.39
05.850.947/0001-05,0,,68,"MARCELO GOMES & CIA LTDA",2,,2.9,2.78,1.45,1.39
05.850.947/0001-05,0,,69,"MARCELO GOMES & CIA LTDA",5,,19.5,18.46,3.9,3.693
05.850.947/0001-05,0,,70,"MARCELO GOMES & CIA LTDA",5,,19.5,18.45,3.9,3.69
05.850.947/0001-05,0,,71,"MARCELO GOMES & CIA LTDA",5,,19.5,18.45,3.9,3.69
05.850.947/0001-05,0,,72,"MARCELO GOMES & CIA LTDA",5,,19.5,18.45,3.9,3.69
05.850.947/0001-05,0,,73,"MARCELO GOMES & CIA LTDA",5,,19.5,18.45,3.9,3.69
05.850.947/0001-05,0,,74,"MARCELO GOMES & CIA LTDA",5,,19.5,18.45,3.9,3.69
05.850.947/0001-05,0,,75,"MARCELO GOMES & CIA LTDA",5,,19.5,18.45,3.9,3.69
05.850.947/0001-05,0,,76,"MARCELO GOMES & CIA LTDA",5,,19.5,18.45,3.9,3.69
05.850.947/0001-05,0,,77,"MARCELO GOMES & CIA LTDA",5,,19.5,18.45,3.9,3.69
05.850.947/0001-05,0,,78,"MARCELO GOMES & CIA LTDA",2,,31.8,31.5,15.9,15.75
05.850.947/0001-05,0,,79,"MARCELO GOMES & CIA LTDA",10,,165,159,16.5,15.9
05.850.947/0001-05,0,,80,"MARCELO GOMES & CIA LTDA",10,,165,159,16.5,15.9
05.850.947/0001-05,0,,81,"MARCELO GOMES & CIA LTDA",10,,165,159,16.5,15.9
