cnpjCpfFornecedor,formaParticipacao,idFornecedor,itensProposta,nomeFonecedor,representanteCertame,responsavelFornecedor,socios
03.976.253/0001-93,INDIVIDUAL," ","itensProposta_8509952d-b4cc-413b-99ef-f187fb8213ce.csv","COPOL DISTRIBUIDORA DE ALIMENTOS LTDA",,," "
17.281.222/0001-22,INDIVIDUAL," ","itensProposta_cd71db55-4eaa-44da-864c-55dea01e13ba.csv","COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VID",,," "
18.619.082/0001-12,INDIVIDUAL," ","itensProposta_496b3180-3ba1-46b9-b8e2-3339b6a537bd.csv","RIF COMERCIAL ATACADISTA LTDA ME",,," "
14.990.312/0001-02,INDIVIDUAL," ","itensProposta_34b1e7af-127f-41ed-8d1b-b167a9b57946.csv","ELO COMERCIO E SERVICOS EIRELI",,," "
14.546.646/0001-83,INDIVIDUAL," ","itensProposta_0d1b3efd-4cbf-4918-9661-73a9c1cb1376.csv","IMPERATRIZ COM. ATACADISTA PROD. ALIMENTÍCIOS EIRE",,," "
14.309.817/0001-50,INDIVIDUAL," ","itensProposta_872d683a-69d5-4ef9-a16b-0d0573b5569a.csv","BIG MIX COM. VAREJISTA DE VARIEDADES",,," "
23.595.412/0001-17,INDIVIDUAL," ","itensProposta_ed8a0cc7-1d30-496d-8c9d-cd98d03e3726.csv","ARX COMERCIO DE ALIMENTOS LTDA - ME",,," "
18.712.730/0001-80,INDIVIDUAL," ","itensProposta_9814a75d-39fd-40cf-845c-b370f1060cf2.csv","MAYCON WILL EIRELI - ME",,," "
27.238.756/0001-20,INDIVIDUAL," ","itensProposta_fe012f75-0165-4b64-b144-75a199274b20.csv","BARRA COMERCIO E DISTRIBUICAO DE ALIMENTOS EIRELI",,," "
07.434.505/0001-03,INDIVIDUAL," ","itensProposta_ba113b8f-9fdc-4c53-b2bc-c83101719097.csv","ROSILEIA RAUPP DE BEM MACHADO",,," "
19.364.427/0001-05,INDIVIDUAL," ","itensProposta_64cfcc4e-9a9a-4f7f-9686-79c8353d65b0.csv","R&G COMERCIO ATACADISTA LTDA",,," "
39.649.812/0001-06,INDIVIDUAL," ","itensProposta_2d44c50b-3647-4111-90d7-5527097427e7.csv","MC COMERCIO DE ALIMENTOS E TRANSPORTES LTDA",,," "
21.004.120/0001-37,INDIVIDUAL," ","itensProposta_6107541f-ef05-42f5-a8a4-af5537f129ed.csv","COMERCIAL TIA VENA DE PRODUTOS ALIMENTICIOS EIRELI",,," "
