data,justificativa,responsavel,tipo
2022-06-01,"CANCELAMENTO DE ITEM","CLESIO SALVARO",CANCELAMENTO
2022-07-11,"Item 04 será transferido para o 2º colocado","CLESIO SALVARO",CANCELAMENTO
