cnpjCpfFornecedor,formaParticipacao,idFornecedor,itensProposta,nomeFonecedor,representanteCertame,responsavelFornecedor,socios
04.013.657/0001-44,INDIVIDUAL," ","itensProposta_bcc3a494-40af-4f24-872b-7c9f55f443df.csv","DE LUCA PECAS AUTOMOTIVAS LTDA","RICARDO DE LUCCAZ","RICARDO DE LUCCAZ"," "
29.120.465/0001-68,INDIVIDUAL," ","itensProposta_a4e75aa4-2da5-4702-b8b6-f49664816ef1.csv","BORGES COMERCIO VAREJISTA DE PECAS E RETIFICA DE M","NATALIA GOULART BORGES","NATALIA GOULART BORGES"," "
40.364.364/0001-75,INDIVIDUAL," ","itensProposta_b91131fa-68c4-4ba3-ba03-ee5bbc3347a5.csv","RP AUTO CENTER E MECANICA EIRELI","ROBERTO FABIO PAZETTO","ROBERTO FABIO PAZETTO"," "
