data,justificativa,responsavel,tipo
2022-09-20,"PASSAGEM DE ITEM N° 040","CLESIO SALVARO",RECEBIMENTO_POR_TRANSF
2022-09-20,"Alteração de valor após recebimento item n°040","CLESIO SALVARO",ALTERACAO_PRECOS
2022-09-21,"Passagem de item n° 228","CLESIO SALVARO",TRANSF_PARA_OUTRA_ATA
