data,justificativa,responsavel,tipo
2021-10-11,"REGISTRO DO FORNECEDOR REMANESCENTE","CLESIO SALVARO",RECEBIMENTO_POR_TRANSF
2021-10-11,"PREÇO OFERTADO APOS RECEBIMENTO DO ITEM 04","CLESIO SALVARO",ALTERACAO_PRECOS
