data,justificativa,responsavel,tipo
2022-06-02,"CANCELAMENTO DE ITEM","CLESIO SALVARO",CANCELAMENTO
2022-06-27,"Passagem de item n° 08","CLESIO SALVARO",TRANSF_PARA_OUTRA_ATA
2022-09-22,REEQUILIBRIO,"CLESIO SALVARO",ALTERACAO_PRECOS
