data,justificativa,responsavel,tipo
2022-08-24,"Chamamento de remanescente item 229","CLESIO SALVARO",TRANSF_PARA_OUTRA_ATA
2022-09-20,"PASSAGEM DE ITEM N° 040","CLESIO SALVARO",TRANSF_PARA_OUTRA_ATA
2022-09-21,"Passagem de item n° 228","CLESIO SALVARO",RECEBIMENTO_POR_TRANSF
2022-09-21,"Alteração de Valor apor Recebimento do item 228","CLESIO SALVARO",ALTERACAO_PRECOS
