cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
78.886.579/0001-29,0,,499,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1366.2,1241.1,45.54,41.37
78.886.579/0001-29,0,,500,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1261.2,1151.4,42.04,38.38
78.886.579/0001-29,0,,501,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1191.3,1088.1,39.71,36.27
78.886.579/0001-29,0,,502,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,911.1,822.6,30.37,27.42
78.886.579/0001-29,0,,503,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1716.6,1558.5,57.22,51.95
78.886.579/0001-29,0,,504,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,981,837,32.7,27.9
78.886.579/0001-29,0,,505,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,840.9,750.3,28.03,25.01
78.886.579/0001-29,0,,506,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1366.2,1241.1,45.54,41.37
78.886.579/0001-29,0,,507,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1191.3,1096.8,39.71,36.56
78.886.579/0001-29,0,,508,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,840.9,764.7,28.03,25.49
78.886.579/0001-29,0,,509,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1015.8,923.4,33.86,30.78
78.886.579/0001-29,0,,510,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1226.1,1125.6,40.87,37.52
78.886.579/0001-29,0,,511,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1576.5,1440,52.55,48
78.886.579/0001-29,0,,512,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1716.6,1558.5,57.22,51.95
78.886.579/0001-29,0,,513,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1716.6,1558.5,57.22,51.95
78.886.579/0001-29,0,,514,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1051.2,952.5,35.04,31.75
78.886.579/0001-29,0,,515,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1436.4,1298.7,47.88,43.29
78.886.579/0001-29,0,,516,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1015.8,923.4,33.86,30.78
78.886.579/0001-29,0,,517,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1541.7,1414.2,51.39,47.14
78.886.579/0001-29,0,,518,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1366.2,1241.1,45.54,41.37
78.886.579/0001-29,0,,519,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1576.5,1414.2,52.55,47.14
78.886.579/0001-29,0,,520,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1681.8,1529.7,56.06,50.99
78.886.579/0001-29,0,,521,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1226.1,1125.6,40.87,37.52
78.886.579/0001-29,0,,522,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1366.2,1241.1,45.54,41.37
78.886.579/0001-29,0,,523,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1156.2,1067.7,38.54,35.59
78.886.579/0001-29,0,,524,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1331.4,1212,44.38,40.4
78.886.579/0001-29,0,,525,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1611.6,1471.8,53.72,49.06
78.886.579/0001-29,0,,526,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1261.2,1125.6,42.04,37.52
78.886.579/0001-29,0,,527,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1086,981.3,36.2,32.71
78.886.579/0001-29,0,,528,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1681.8,1529.7,56.06,50.99
78.886.579/0001-29,0,,529,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1436.4,1298.7,47.88,43.29
78.886.579/0001-29,0,,530,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,665.7,606,22.19,20.2
78.886.579/0001-29,0,,531,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,385.2,346.2,12.84,11.54
78.886.579/0001-29,0,,532,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,560.7,519.6,18.69,17.32
78.886.579/0001-29,0,,533,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,525.3,476.1,17.51,15.87
78.886.579/0001-29,0,,534,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,525.3,476.1,17.51,15.87
78.886.579/0001-29,0,,535,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,455.4,404.1,15.18,13.47
78.886.579/0001-29,0,,536,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,490.5,447.3,16.35,14.91
78.886.579/0001-29,0,,537,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,490.5,447.3,16.35,14.91
78.886.579/0001-29,0,,538,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,420.3,375.3,14.01,12.51
78.886.579/0001-29,0,,539,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,560.7,519.6,18.69,17.32
78.886.579/0001-29,0,,540,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,665.7,577.2,22.19,19.24
78.886.579/0001-29,0,,541,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,700.8,629.1,23.36,20.97
78.886.579/0001-29,0,,542,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,665.7,606,22.19,20.2
78.886.579/0001-29,0,,543,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1261.2,1151.4,42.04,38.38
78.886.579/0001-29,0,,544,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1471.5,1327.5,49.05,44.25
78.886.579/0001-29,0,,545,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1541.7,1385.4,51.39,46.18
78.886.579/0001-29,0,,546,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1541.7,1385.4,51.39,46.18
78.886.579/0001-29,0,,547,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,609.6,548.4,20.32,18.28
78.886.579/0001-29,0,,548,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,385.2,346.2,12.84,11.54
78.886.579/0001-29,0,,549,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,609.6,548.4,20.32,18.28
78.886.579/0001-29,0,,550,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,595.5,534,19.85,17.8
78.886.579/0001-29,0,,551,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,665.7,606,22.19,20.2
78.886.579/0001-29,0,,552,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,665.7,606,22.19,20.2
78.886.579/0001-29,0,,553,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,700.8,629.1,23.36,20.97
78.886.579/0001-29,0,,554,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,700.8,629.1,23.36,20.97
78.886.579/0001-29,0,,555,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,911.1,808.2,30.37,26.94
78.886.579/0001-29,0,,556,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,700.8,629.1,23.36,20.97
78.886.579/0001-29,0,,557,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,700.8,629.1,23.36,20.97
78.886.579/0001-29,0,,558,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,911.1,808.2,30.37,26.94
78.886.579/0001-29,0,,559,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,560.7,519.6,18.69,17.32
78.886.579/0001-29,0,,1420,"IMACRI IDROMAQUINAS CRICIUMA LTDA",24,,2398.08,1902.96,99.92,79.29
78.886.579/0001-29,0,,1421,"IMACRI IDROMAQUINAS CRICIUMA LTDA",24,,3083.04,2432.64,128.46,101.36
78.886.579/0001-29,0,,1422,"IMACRI IDROMAQUINAS CRICIUMA LTDA",24,,3832.8,3040.8,159.7,126.7
78.886.579/0001-29,0,,1423,"IMACRI IDROMAQUINAS CRICIUMA LTDA",14,,776.72,606.48,55.48,43.32
78.886.579/0001-29,0,,1424,"IMACRI IDROMAQUINAS CRICIUMA LTDA",9,,163.62,125.1,18.18,13.9
78.886.579/0001-29,0,,1425,"IMACRI IDROMAQUINAS CRICIUMA LTDA",9,,3163.5,2516.13,351.5,279.57
78.886.579/0001-29,0,,1426,"IMACRI IDROMAQUINAS CRICIUMA LTDA",14,,3479,2758,248.5,197
78.886.579/0001-29,0,,1427,"IMACRI IDROMAQUINAS CRICIUMA LTDA",14,,1961.96,1556.38,140.14,111.17
