cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
05.748.155/0001-24,10366659,"Cópias de Projeto de Engenharia,Sulfite Preto e Branco",1,"DELTA EDITORA E SERVIÇOS GRAFICOS LTDA.",4500,M,28710,26100,6.38,5.8
05.748.155/0001-24,10297488,"Plotagem preto/branco.",2,"DELTA EDITORA E SERVIÇOS GRAFICOS LTDA.",4300,M,29627,26875,6.89,6.25
05.748.155/0001-24,181700021,"PLOTAGEM COLORIDA",3,"DELTA EDITORA E SERVIÇOS GRAFICOS LTDA.",1000,M,9310,8450,9.31,8.45
05.748.155/0001-24,10297493,"copia preto e branco tamanho A4.",4,"DELTA EDITORA E SERVIÇOS GRAFICOS LTDA.",20000,UND,3200,2800,0.16,0.14
